Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,variation_children_code
2182SOH01-orange,Colour,2182SOH01-orange,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522820/Summer2018/2182SOH01_orange_3.jpg,2182SOH01_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522823/Summer2018/2182SOH01_orange_4.jpg,2182SOH01_orange_4,,,,,,,,,,,orange,2182SOH01-orange-xs|2182SOH01-orange-sm|2182SOH01-orange-md|2182SOH01-orange-lg|2182SOH01-orange-xl
1892ALY01-blue,Colour,1892ALY01-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517942494/Summer2018/1892ALY01_blue_1.jpg,1892ALY01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517942495/Summer2018/1892ALY01_blue_2.jpg,1892ALY01_blue_2,,,,,,,,,,,blue,1892ALY01-blue-xs|1892ALY01-blue-sm|1892ALY01-blue-md|1892ALY01-blue-lg|1892ALY01-blue-xl
1892ALY02-red,Colour,1892ALY02-red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517944435/Summer2018/1892ALY02_red_1.jpg,1892ALY02_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517944436/Summer2018/1892ALY02_red_2.jpg,1892ALY02_red_2,,,,,,,,,,,red,1892ALY02-red-xs|1892ALY02-red-sm|1892ALY02-red-md|1892ALY02-red-lg|1892ALY02-red-xl
1892ALY03-green,Colour,1892ALY03-green,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517944904/Summer2018/1892ALY03_green_1.jpg,1892ALY03_green_1,,https://res.cloudinary.com/maaji/image/upload/v1517944906/Summer2018/1892ALY03_green_2.jpg,1892ALY03_green_2,,,,,,,,,,,green,1892ALY03-green-xs|1892ALY03-green-sm|1892ALY03-green-md|1892ALY03-green-lg
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21,,,,,,,,,,
