lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
2117SSP01_wine_xl,,23,23,0.22,,27,27,0.25
3049SFA01_red_sm,,23,23,0.22,,27,27,0.25
3049SFA01_red_md,,23,23,0.22,,27,27,0.25
3049SFA01_red_lg,,23,23,0.22,,27,27,0.25
3049SFA01_red_xl,,23,23,0.22,,27,27,0.25
3054SFA01_blue_sm,,23,23,0.22,,27,27,0.25
3054SFA01_blue_md,,23,23,0.22,,27,27,0.25
3054SFA01_blue_lg,,23,23,0.22,,27,27,0.25
3054SFA01_blue_xl,,23,23,0.22,,27,27,0.25
1520SFH01_blue_sm,,23,23,0.22,,27,27,0.25
1520SFH01_blue_md,,23,23,0.22,,27,27,0.25
1520SFH01_blue_lg,,23,23,0.22,,27,27,0.25
1520SFH01_blue_xl,,23,23,0.22,,27,27,0.25
3053SFA01_blue_sm,,23,23,0.22,,27,27,0.25
3053SFA01_blue_md,,23,23,0.22,,27,27,0.25
3053SFA01_blue_lg,,23,23,0.22,,27,27,0.25
3053SFA01_blue_xl,,23,23,0.22,,27,27,0.25
2121SHN01_blue_sm,,23,23,0.22,,27,27,0.25
2121SHN01_blue_md,,23,23,0.22,,27,27,0.25
2121SHN01_blue_lg,,23,23,0.22,,27,27,0.25
2121SHN01_blue_xl,,23,23,0.22,,27,27,0.25
1929SFA02_blue_sm,,23,23,0.22,,27,27,0.25
1929SFA02_blue_md,,23,23,0.22,,27,27,0.25
1929SFA02_blue_lg,,23,23,0.22,,27,27,0.25
1929SFA02_blue_xl,,23,23,0.22,,27,27,0.25
2033SUN01_blue_sm,,23,23,0.22,,27,27,0.25
2033SUN01_blue_md,,23,23,0.22,,27,27,0.25
2033SUN01_blue_lg,,23,23,0.22,,27,27,0.25
2033SUN01_blue_xl,,23,23,0.22,,27,27,0.25
2113SFT02_blue_sm,,23,23,0.22,,27,27,0.25
2113SFT02_blue_md,,23,23,0.22,,27,27,0.25
2113SFT02_blue_lg,,23,23,0.22,,27,27,0.25
