lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2117SSP01_wine_md,Size,2117SSP01_wine_md,active,Maaji,MEDIO,7702781002961,MEDIO,126000,COP Price
2117SSP01_wine_lg,Size,2117SSP01_wine_lg,active,Maaji,GRANDE,7702781002978,GRANDE,126000,COP Price
2117SSP01_wine_xl,Size,2117SSP01_wine_xl,active,Maaji,EXTRA GRANDE,7702781002985,EXTRA GRANDE,126000,COP Price
3049SFA01_red_sm,Size,3049SFA01_red_sm,active,Maaji,PEQUEÑO,7702781003401,PEQUEÑO,126000,COP Price
3049SFA01_red_md,Size,3049SFA01_red_md,active,Maaji,MEDIO,7702781003395,MEDIO,126000,COP Price
3049SFA01_red_lg,Size,3049SFA01_red_lg,active,Maaji,GRANDE,7702781003388,GRANDE,126000,COP Price
3049SFA01_red_xl,Size,3049SFA01_red_xl,active,Maaji,EXTRA GRANDE,7702781003418,EXTRA GRANDE,126000,COP Price
3054SFA01_blue_sm,Size,3054SFA01_blue_sm,active,Maaji,PEQUEÑO,7702781004729,PEQUEÑO,137000,COP Price
3054SFA01_blue_md,Size,3054SFA01_blue_md,active,Maaji,MEDIO,7702781004736,MEDIO,137000,COP Price
3054SFA01_blue_lg,Size,3054SFA01_blue_lg,active,Maaji,GRANDE,7702781004743,GRANDE,137000,COP Price
3054SFA01_blue_xl,Size,3054SFA01_blue_xl,active,Maaji,EXTRA GRANDE,7702781004750,EXTRA GRANDE,137000,COP Price
1520SFH01_blue_sm,Size,1520SFH01_blue_sm,active,Maaji,PEQUEÑO,7702781004828,PEQUEÑO,126000,COP Price
1520SFH01_blue_md,Size,1520SFH01_blue_md,active,Maaji,MEDIO,7702781004835,MEDIO,126000,COP Price
1520SFH01_blue_lg,Size,1520SFH01_blue_lg,active,Maaji,GRANDE,7702781004842,GRANDE,126000,COP Price
1520SFH01_blue_xl,Size,1520SFH01_blue_xl,active,Maaji,EXTRA GRANDE,7702781004859,EXTRA GRANDE,126000,COP Price
3053SFA01_blue_sm,Size,3053SFA01_blue_sm,active,Maaji,PEQUEÑO,7702781004873,PEQUEÑO,121000,COP Price
3053SFA01_blue_md,Size,3053SFA01_blue_md,active,Maaji,MEDIO,7702781004880,MEDIO,121000,COP Price
3053SFA01_blue_lg,Size,3053SFA01_blue_lg,active,Maaji,GRANDE,7702781004897,GRANDE,121000,COP Price
3053SFA01_blue_xl,Size,3053SFA01_blue_xl,active,Maaji,EXTRA GRANDE,7702781004903,EXTRA GRANDE,121000,COP Price
2121SHN01_blue_sm,Size,2121SHN01_blue_sm,active,Maaji,PEQUEÑO,7702781003548,PEQUEÑO,126000,COP Price
2121SHN01_blue_md,Size,2121SHN01_blue_md,active,Maaji,MEDIO,7702781003555,MEDIO,126000,COP Price
2121SHN01_blue_lg,Size,2121SHN01_blue_lg,active,Maaji,GRANDE,7702781003562,GRANDE,126000,COP Price
2121SHN01_blue_xl,Size,2121SHN01_blue_xl,active,Maaji,EXTRA GRANDE,7702781003579,EXTRA GRANDE,126000,COP Price
1929SFA02_blue_sm,Size,1929SFA02_blue_sm,active,Maaji,PEQUEÑO,7702781002404,PEQUEÑO,137000,COP Price
1929SFA02_blue_md,Size,1929SFA02_blue_md,active,Maaji,MEDIO,7702781002411,MEDIO,137000,COP Price
1929SFA02_blue_lg,Size,1929SFA02_blue_lg,active,Maaji,GRANDE,7702781002428,GRANDE,137000,COP Price
1929SFA02_blue_xl,Size,1929SFA02_blue_xl,active,Maaji,EXTRA GRANDE,7702781002435,EXTRA GRANDE,137000,COP Price
2033SUN01_blue_sm,Size,2033SUN01_blue_sm,active,Maaji,PEQUEÑO,7702781005962,PEQUEÑO,126000,COP Price
2033SUN01_blue_md,Size,2033SUN01_blue_md,active,Maaji,MEDIO,7702781005979,MEDIO,126000,COP Price
2033SUN01_blue_lg,Size,2033SUN01_blue_lg,active,Maaji,GRANDE,7702781005986,GRANDE,126000,COP Price
2033SUN01_blue_xl,Size,2033SUN01_blue_xl,active,Maaji,EXTRA GRANDE,7702781005993,EXTRA GRANDE,126000,COP Price
2113SFT02_blue_sm,Size,2113SFT02_blue_sm,active,Maaji,PEQUEÑO,7702781006013,PEQUEÑO,121000,COP Price
2113SFT02_blue_md,Size,2113SFT02_blue_md,active,Maaji,MEDIO,7702781006020,MEDIO,121000,COP Price
2113SFT02_blue_lg,Size,2113SFT02_blue_lg,active,Maaji,GRANDE,7702781006037,GRANDE,121000,COP Price
2113SFT02_blue_xl,Size,2113SFT02_blue_xl,active,Maaji,EXTRA GRANDE,7702781006044,EXTRA GRANDE,121000,COP Price
