lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
3068SSP02_orange_lg,,17,17,0.19,,20,20,0.21
3068SSP02_orange_xl,,17,17,0.19,,20,20,0.21
3069SSE01_orange_sm,,17,17,0.19,,20,20,0.21
3069SSE01_orange_md,,17,17,0.19,,20,20,0.21
3069SSE01_orange_lg,,17,17,0.19,,20,20,0.21
3069SSE01_orange_xl,,17,17,0.19,,20,20,0.21
3070SBR01_purple_sm,,17,17,0.19,,20,20,0.21
3070SBR01_purple_md,,17,17,0.19,,20,20,0.21
3070SBR01_purple_lg,,17,17,0.19,,20,20,0.21
3070SBR01_purple_xl,,17,17,0.19,,20,20,0.21
1520SFH03_brown_sm,,17,17,0.19,,20,20,0.21
1520SFH03_brown_md,,17,17,0.19,,20,20,0.21
1520SFH03_brown_lg,,17,17,0.19,,20,20,0.21
1520SFH03_brown_xl,,17,17,0.19,,20,20,0.21
1932SFT04_black_sm,,17,17,0.19,,20,20,0.21
1932SFT04_black_md,,17,17,0.19,,20,20,0.21
1932SFT04_black_lg,,17,17,0.19,,20,20,0.21
1932SFT04_black_xl,,17,17,0.19,,20,20,0.21
1932SFT05_orange_sm,,17,17,0.19,,20,20,0.21
1932SFT05_orange_md,,17,17,0.19,,20,20,0.21
1932SFT05_orange_lg,,17,17,0.19,,20,20,0.21
1932SFT05_orange_xl,,17,17,0.19,,20,20,0.21
2021SFA04_orange_sm,,17,17,0.19,,20,20,0.21
2021SFA04_orange_md,,17,17,0.19,,20,20,0.21
2021SFA04_orange_lg,,17,17,0.19,,20,20,0.21
2033SUN04_black_sm,,17,17,0.19,,20,20,0.21
2033SUN04_black_md,,17,17,0.19,,20,20,0.21
2033SUN04_black_lg,,17,17,0.19,,20,20,0.21
2047SHN03_red_sm,,17,17,0.19,,20,20,0.21
2047SHN03_red_md,,17,17,0.19,,20,20,0.21
2047SHN03_red_lg,,17,17,0.19,,20,20,0.21
2047SHN03_red_xl,,17,17,0.19,,20,20,0.21
2050SSE01_black_sm,,17,17,0.19,,20,20,0.21
2050SSE01_black_md,,17,17,0.19,,20,20,0.21
2050SSE01_black_lg,,17,17,0.19,,20,20,0.21
2050SSE01_black_xl,,17,17,0.19,,20,20,0.21
2112SFA02_blue_sm,,17,17,0.19,,20,20,0.21
2112SFA02_blue_md,,17,17,0.19,,20,20,0.21
2112SFA02_blue_lg,,17,17,0.19,,20,20,0.21
2112SFA02_blue_xl,,17,17,0.19,,20,20,0.21
2131SUN02_red_sm,,17,17,0.19,,20,20,0.21
2131SUN02_red_md,,17,17,0.19,,20,20,0.21
2131SUN02_red_lg,,17,17,0.19,,20,20,0.21
2131SUN02_red_xl,,17,17,0.19,,20,20,0.21
2131SUN03_orange_sm,,17,17,0.19,,20,20,0.21
2131SUN03_orange_md,,17,17,0.19,,20,20,0.21
