lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
1038tsl02_verde,Colour,1038TSL02 VERDE,active,Maaji,1,1,,1038tsl02_verde_sm|1038tsl02_verde_md|1038tsl02_verde_lg|1038tsl02_verde_xl
1372csh02_blanco,Colour,1372CSH02 BLANCO,active,Maaji,1,1,,1372csh02_blanco_sm|1372csh02_blanco_md|1372csh02_blanco_lg
1422csd04_morado,Colour,1422CSD04 MORADO,active,Maaji,1,1,,1422csd04_morado_sm|1422csd04_morado_md|1422csd04_morado_lg
1438csd05_rojo,Colour,1438CSD05 ROJO,active,Maaji,1,1,,1438csd05_rojo_sm|1438csd05_rojo_md|1438csd05_rojo_lg
1442csh05_morado,Colour,1442CSH05 MORADO,active,Maaji,1,1,,1442csh05_morado_sm|1442csh05_morado_md|1442csh05_morado_lg
1442csh06_azul,Colour,1442CSH06 AZUL,active,Maaji,1,1,,1442csh06_azul_sm|1442csh06_azul_md|1442csh06_azul_lg
1446ckl01_azul,Colour,1446CKL01 AZUL,active,Maaji,1,1,,1446ckl01_azul_sm|1446ckl01_azul_md|1446ckl01_azul_lg
1461csd03_azul,Colour,1461CSD03 AZUL,active,Maaji,1,1,,1461csd03_azul_sm|1461csd03_azul_md|1461csd03_azul_lg
1461csd04_morado,Colour,1461CSD04 MORADO,active,Maaji,1,1,,1461csd04_morado_sm|1461csd04_morado_md|1461csd04_morado_lg
1468cpa03_rojo,Colour,1468CPA03 ROJO,active,Maaji,1,1,,1468cpa03_rojo_sm|1468cpa03_rojo_md|1468cpa03_rojo_lg
1469cks04_morado,Colour,1469CKS04 MORADO,active,Maaji,1,1,,1469cks04_morado_sm|1469cks04_morado_md|1469cks04_morado_lg
1471csd02_blanco,Colour,1471CSD02 BLANCO,active,Maaji,1,1,,1471csd02_blanco_sm|1471csd02_blanco_md|1471csd02_blanco_lg
1477csd03_morado,Colour,1477CSD03 MORADO,active,Maaji,1,1,,1477csd03_morado_sm|1477csd03_morado_md|1477csd03_morado_lg
1502csd01_rojo,Colour,1502CSD01 ROJO,active,Maaji,1,1,,1502csd01_rojo_sm|1502csd01_rojo_md|1502csd01_rojo_lg
1503csd01_rojo,Colour,1503CSD01 ROJO,active,Maaji,1,1,,1503csd01_rojo_sm|1503csd01_rojo_md|1503csd01_rojo_lg
1504cld01_rojo,Colour,1504CLD01 ROJO,active,Maaji,1,1,,1504cld01_rojo_sm|1504cld01_rojo_md|1504cld01_rojo_lg
1506csd01_verde,Colour,1506CSD01 VERDE,active,Maaji,1,1,,1506csd01_verde_sm|1506csd01_verde_md|1506csd01_verde_lg
1507cks01_verde,Colour,1507CKS01 VERDE,active,Maaji,1,1,,1507cks01_verde_sm|1507cks01_verde_md|1507cks01_verde_lg
1508cct01_verde,Colour,1508CCT01 VERDE,active,Maaji,1,1,,1508cct01_verde_sm|1508cct01_verde_md|1508cct01_verde_lg
1509ckl01_blanco,Colour,1509CKL01 BLANCO,active,Maaji,1,1,,1509ckl01_blanco_sm|1509ckl01_blanco_md|1509ckl01_blanco_lg
1511cro01_azul,Colour,1511CRO01 AZUL,active,Maaji,1,1,,1511cro01_azul_sm|1511cro01_azul_md|1511cro01_azul_lg
1513cls01_azul,Colour,1513CLS01 AZUL,active,Maaji,1,1,,1513cls01_azul_sm|1513cls01_azul_md|1513cls01_azul_lg
1514csd01_azul,Colour,1514CSD01 AZUL,active,Maaji,1,1,,1514csd01_azul_sm|1514csd01_azul_md|1514csd01_azul_lg
1516cct01_azul,Colour,1516CCT01 AZUL,active,Maaji,1,1,,1516cct01_azul_sm|1516cct01_azul_md|1516cct01_azul_lg
1518csd01_vinotinto,Colour,1518CSD01 VINOTINTO,active,Maaji,1,1,,1518csd01_vinotinto_sm|1518csd01_vinotinto_md|1518csd01_vinotinto_lg
1519cct01_morado,Colour,1519CCT01 MORADO,active,Maaji,1,1,,1519cct01_morado_sm|1519cct01_morado_md|1519cct01_morado_lg
2173sfa01_azul,Colour,2173SFA01 AZUL,active,Maaji,1,1,,2173sfa01_azul_sm|2173sfa01_azul_md|2173sfa01_azul_lg
2174slt01_azul,Colour,2174SLT01 AZUL,active,Maaji,1,1,,2174slt01_azul_sm|2174slt01_azul_md|2174slt01_azul_lg|2174slt01_azul_xl
2175sfa01_blanco,Colour,2175SFA01 BLANCO,active,Maaji,1,1,,2175sfa01_blanco_sm|2175sfa01_blanco_md|2175sfa01_blanco_lg|2175sfa01_blanco_xl
