lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2172SDC01_red_lg,Size,2172SDC01_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2172SDC01_red_xl,Size,2172SDC01_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2114SAC03_red_xs,Size,2114SAC03_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2114SAC03_red_sm,Size,2114SAC03_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2114SAC03_red_md,Size,2114SAC03_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2114SAC03_red_lg,Size,2114SAC03_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2114SAC03_red_xl,Size,2114SAC03_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2114SBC03_red_xs,Size,2114SBC03_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2114SBC03_red_sm,Size,2114SBC03_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2114SBC03_red_md,Size,2114SBC03_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2114SBC03_red_lg,Size,2114SBC03_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2114SBC03_red_xl,Size,2114SBC03_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
3067SOR01_black_xs,Size,3067SOR01_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,265000,COP Price
3067SOR01_black_sm,Size,3067SOR01_black_sm,active,Maaji,7.7E+17,SMALL,265000,COP Price
3067SOR01_black_md,Size,3067SOR01_black_md,active,Maaji,7.7E+17,MEDIUM,265000,COP Price
3067SOR01_black_lg,Size,3067SOR01_black_lg,active,Maaji,7.7E+17,LARGE,265000,COP Price
3067SOR01_black_xl,Size,3067SOR01_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,265000,COP Price
3067SOH01_black_xs,Size,3067SOH01_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,265000,COP Price
3067SOH01_black_sm,Size,3067SOH01_black_sm,active,Maaji,7.7E+17,SMALL,265000,COP Price
3067SOH01_black_md,Size,3067SOH01_black_md,active,Maaji,7.7E+17,MEDIUM,265000,COP Price
3067SOH01_black_lg,Size,3067SOH01_black_lg,active,Maaji,7.7E+17,LARGE,265000,COP Price
3067SOH01_black_xl,Size,3067SOH01_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,265000,COP Price
3007SAC16_black_xs,Size,3007SAC16_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SAC16_black_sm,Size,3007SAC16_black_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SAC16_black_md,Size,3007SAC16_black_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SAC16_black_lg,Size,3007SAC16_black_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SAC16_black_xl,Size,3007SAC16_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3007SBC16_black_xs,Size,3007SBC16_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SBC16_black_sm,Size,3007SBC16_black_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SBC16_black_md,Size,3007SBC16_black_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SBC16_black_lg,Size,3007SBC16_black_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SBC16_black_xl,Size,3007SBC16_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3007SCC16_black_xs,Size,3007SCC16_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SCC16_black_sm,Size,3007SCC16_black_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SCC16_black_md,Size,3007SCC16_black_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SCC16_black_lg,Size,3007SCC16_black_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SCC16_black_xl,Size,3007SCC16_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3007SDC16_black_xs,Size,3007SDC16_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SDC16_black_sm,Size,3007SDC16_black_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SDC16_black_md,Size,3007SDC16_black_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SDC16_black_lg,Size,3007SDC16_black_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SDC16_black_xl,Size,3007SDC16_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3039SBC04_black_xs,Size,3039SBC04_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3039SBC04_black_sm,Size,3039SBC04_black_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3039SBC04_black_md,Size,3039SBC04_black_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3039SBC04_black_lg,Size,3039SBC04_black_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3039SBC04_black_xl,Size,3039SBC04_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3039SCC04_black_xs,Size,3039SCC04_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3039SCC04_black_sm,Size,3039SCC04_black_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3039SCC04_black_md,Size,3039SCC04_black_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3039SCC04_black_lg,Size,3039SCC04_black_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3039SCC04_black_xl,Size,3039SCC04_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3039SDC04_black_xs,Size,3039SDC04_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
