lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.string,attribute.saya_fabric_content.single_option,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.string,attribute.saya_product_line.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
WAYUU ALLURE,4 Level Product Style,WAYUU ALLURE,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,WAYUU ALLURE,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2114SAC03|2114SBC03
METEORITE COLOMBIA,4 Level Product Style,METEORITE COLOMBIA,active,Maaji,WOMENS ONE PIECE/REGULAR RISE,default,Colombia,SUMMER 2018,Colombia,WOMENS SWIMWEAR ONE PIECE 90%NYLON 7%SPANDEX 1%POLYESTER 1%PET 1%ACRYLIC KNIT,SWIMWEAR,SWIMWEAR,METEORITE COLOMBIA,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,3067SOR01|3067SOH01
METEORITE SUBLIME,4 Level Product Style,METEORITE SUBLIME,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,METEORITE SUBLIME,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,3007SAC16|3007SBC16|3007SCC16|3007SDC16
METEORITE FLIRT,4 Level Product Style,METEORITE FLIRT,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,METEORITE FLIRT,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,3039SBC04|3039SCC04|3039SDC04
AFTERLIFE ISLAND,4 Level Product Style,AFTERLIFE ISLAND,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,AFTERLIFE ISLAND,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2187SBC01|2187SDC01
SPANISH EXPLORER,4 Level Product Style,SPANISH EXPLORER,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,SPANISH EXPLORER,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,1943SBC04|1943SCC04
PUNTA BAY,4 Level Product Style,PUNTA BAY,active,Maaji,WOMENS SURFER ONE PIECE/SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,PUNTA BAY,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2122SOB02|2122SOC02
BUMPY ROADS,4 Level Product Style,BUMPY ROADS,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,BUMPY ROADS,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2050SBC01|2050SDC01
NIGHLTY OASIS,4 Level Product Style,NIGHLTY OASIS,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,NIGHLTY OASIS,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,1943SAC03|1943SBC03
GARDEN PILOT,4 Level Product Style,GARDEN PILOT,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,GARDEN PILOT,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2061SBC03|2061SCC03
GULF OF PARIA,4 Level Product Style,GULF OF PARIA,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,GULF OF PARIA,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2041SAC07|2041SBC07
PEARL PROVINCE,4 Level Product Style,PEARL PROVINCE,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,PEARL PROVINCE,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2047SBC05|2047SCC05
MEDITERRANEAN BLUE SUBLIME,4 Level Product Style,MEDITERRANEAN BLUE SUBLIME,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,MEDITERRANEAN BLUE SUBLIME,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,3007SAC17|3007SBC17|3007SCC17|3007SDC17
