lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
3039SCC05_blue,Colour,3039SCC05_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518277182/Summer2018/3039SBC05_3039SCC0_3039SDC05_blue_1.jpg,3039SCC05_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518277179/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_2.jpg,3039SCC05_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518277182/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_5.jpg,3039SCC05_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518277173/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_6.jpg,3039SCC05_blue_6,,,,,,,,blue,3039SCC05_blue_xs|3039SCC05_blue_sm|3039SCC05_blue_md|3039SCC05_blue_lg|3039SCC05_blue_xl
3039SDC05_blue,Colour,3039SDC05_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518277182/Summer2018/3039SBC05_3039SCC0_3039SDC05_blue_1.jpg,3039SDC05_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518277179/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_2.jpg,3039SDC05_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518277182/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_5.jpg,3039SDC05_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518277173/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_6.jpg,3039SDC05_blue_6,,,,,,,,blue,3039SDC05_blue_xs|3039SDC05_blue_sm|3039SDC05_blue_md|3039SDC05_blue_lg|3039SDC05_blue_xl
3052SBC03_blue,Colour,3052SBC03_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518287183/Summer2018/3052SBC03_3052SDC03_blue_1.jpg,3052SBC03_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518287190/Summer2018/3052SBC03_3052SDC03_blue_2.jpg,3052SBC03_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518287185/Summer2018/3052SBC03_3052SDC03_blue_5.jpg,3052SBC03_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518287190/Summer2018/3052SBC03_3052SDC03_blue_6.jpg,3052SBC03_blue_6,,,,,,,,blue,3052SBC03_blue_xs|3052SBC03_blue_sm|3052SBC03_blue_md|3052SBC03_blue_lg|3052SBC03_blue_xl
3052SDC03_blue,Colour,3052SDC03_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518287183/Summer2018/3052SBC03_3052SDC03_blue_1.jpg,3052SDC03_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518287190/Summer2018/3052SBC03_3052SDC03_blue_2.jpg,3052SDC03_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518287185/Summer2018/3052SBC03_3052SDC03_blue_5.jpg,3052SDC03_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518287190/Summer2018/3052SBC03_3052SDC03_blue_6.jpg,3052SDC03_blue_6,,,,,,,,blue,3052SDC03_blue_xs|3052SDC03_blue_sm|3052SDC03_blue_md|3052SDC03_blue_lg|3052SDC03_blue_xl
3007SAC18_pink,Colour,3007SAC18_pink,active,Maaji,http://res.cloudinary.com/maaji/image/upload/v1518052417/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_1.jpg,3007SAC18_pink_1,,https://res.cloudinary.com/maaji/image/upload/v1518052422/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_2.jpg,3007SAC18_pink_2,,https://res.cloudinary.com/maaji/image/upload/v1518052425/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_blue_5.jpg,3007SAC18_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518052426/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_6.jpg,3007SAC18_pink_6,,,,,,,,pink,3007SAC18_blue_xs|3007SAC18_blue_sm|3007SAC18_blue_md|3007SAC18_blue_lg|3007SAC18_blue_xl
3007SBC18_pink,Colour,3007SBC18_pink,active,Maaji,http://res.cloudinary.com/maaji/image/upload/v1518052417/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_1.jpg,3007SBC18_pink_1,,https://res.cloudinary.com/maaji/image/upload/v1518052422/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_2.jpg,3007SBC18_pink_2,,https://res.cloudinary.com/maaji/image/upload/v1518052425/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_blue_5.jpg,3007SBC18_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518052426/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_6.jpg,3007SBC18_pink_6,,,,,,,,pink,3007SBC18_blue_xs|3007SBC18_blue_sm|3007SBC18_blue_md|3007SBC18_blue_lg|3007SBC18_blue_xl
3007SCC18_pink,Colour,3007SCC18_pink,active,Maaji,http://res.cloudinary.com/maaji/image/upload/v1518052417/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_1.jpg,3007SCC18_pink_1,,https://res.cloudinary.com/maaji/image/upload/v1518052422/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_2.jpg,3007SCC18_pink_2,,https://res.cloudinary.com/maaji/image/upload/v1518052425/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_blue_5.jpg,3007SCC18_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518052426/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_6.jpg,3007SCC18_pink_6,,,,,,,,pink,3007SCC18_blue_xs|3007SCC18_blue_sm|3007SCC18_blue_md|3007SCC18_blue_lg|3007SCC18_blue_xl
3007SDC18_pink,Colour,3007SDC18_pink,active,Maaji,http://res.cloudinary.com/maaji/image/upload/v1518052417/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_1.jpg,3007SDC18_pink_1,,https://res.cloudinary.com/maaji/image/upload/v1518052422/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_2.jpg,3007SDC18_pink_2,,https://res.cloudinary.com/maaji/image/upload/v1518052425/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_blue_5.jpg,3007SDC18_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518052426/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_6.jpg,3007SDC18_pink_6,,,,,,,,pink,3007SDC18_blue_xs|3007SDC18_blue_sm|3007SDC18_blue_md|3007SDC18_blue_lg|3007SDC18_blue_xl
2062SBC10_blue,Colour,2062SBC10_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517843100/Summer2018/2062SBC10_2062SDC10_blue_1.jpg,2062SBC10_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517843100/Summer2018/2062SBC10_2062SDC10_blue_2.jpg,2062SBC10_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517843007/Summer2018/2162SFA02_2062SBC10_blue_3.jpg,2062SBC10_blue_3,,,,,,,,,,,blue,2062SBC10_blue_xs|2062SBC10_blue_sm|2062SBC10_blue_md|2062SBC10_blue_lg|2062SBC10_blue_xl
2062SDC10_blue,Colour,2062SDC10_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517843100/Summer2018/2062SBC10_2062SDC10_blue_1.jpg,2062SDC10_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517843100/Summer2018/2062SBC10_2062SDC10_blue_2.jpg,2062SDC10_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517843008/Summer2018/2162SFA02_2062SDC10_blue_4.jpg,2062SDC10_blue_4,,,,,,,,,,,blue,2062SDC10_blue_xs|2062SDC10_blue_sm|2062SDC10_blue_md|2062SDC10_blue_lg|2062SDC10_blue_xl
