lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1502CSD01_red_sm,Size,1502CSD01_red_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1502CSD01_red_md,Size,1502CSD01_red_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1502CSD01_red_lg,Size,1502CSD01_red_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1503CSD01_red_sm,Size,1503CSD01_red_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1503CSD01_red_md,Size,1503CSD01_red_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1503CSD01_red_lg,Size,1503CSD01_red_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1504CLD01_red_sm,Size,1504CLD01_red_sm,active,Maaji,7.70278E+12,SMALL,220000,COP Price
1504CLD01_red_md,Size,1504CLD01_red_md,active,Maaji,7.70278E+12,MEDIUM,220000,COP Price
1504CLD01_red_lg,Size,1504CLD01_red_lg,active,Maaji,7.70278E+12,LARGE,220000,COP Price
1506CSD01_black_sm,Size,1506CSD01_black_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1506CSD01_black_md,Size,1506CSD01_black_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1506CSD01_black_lg,Size,1506CSD01_black_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1507CKS01_black_sm,Size,1507CKS01_black_SM,active,Maaji,7.70278E+12,SMALL,130000,COP Price
1507CKS01_black_md,Size,1507CKS01_black_MD,active,Maaji,7.70278E+12,MEDIUM,130000,COP Price
1507CKS01_black_lg,Size,1507CKS01_black_LG,active,Maaji,7.70278E+12,LARGE,130000,COP Price
1508CCT01_black_sm,Size,1508CCT01_black_sm,active,Maaji,7.70278E+12,SMALL,155000,COP Price
1508CCT01_black_md,Size,1508CCT01_black_md,active,Maaji,7.70278E+12,MEDIUM,155000,COP Price
1508CCT01_black_lg,Size,1508CCT01_black_lg,active,Maaji,7.70278E+12,LARGE,155000,COP Price
1509CKL01_black_sm,Size,1509CKL01_black_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1509CKL01_black_md,Size,1509CKL01_black_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1509CKL01_black_lg,Size,1509CKL01_black_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1511CRO01_blue_sm,Size,1511CRO01_blue_sm,active,Maaji,7.70278E+12,SMALL,160000,COP Price
1511CRO01_blue_md,Size,1511CRO01_blue_md,active,Maaji,7.70278E+12,MEDIUM,160000,COP Price
1511CRO01_blue_lg,Size,1511CRO01_blue_lg,active,Maaji,7.70278E+12,LARGE,160000,COP Price
1513CLS01_blue_sm,Size,1513CLS01_blue_sm,active,Maaji,7.70278E+12,SMALL,170000,COP Price
1513CLS01_blue_md,Size,1513CLS01_blue_md,active,Maaji,7.70278E+12,MEDIUM,170000,COP Price
1513CLS01_blue_lg,Size,1513CLS01_blue_lg,active,Maaji,7.70278E+12,LARGE,170000,COP Price
1514CSD01_blue_sm,Size,1514CSD01_blue_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1514CSD01_blue_md,Size,1514CSD01_blue_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1514CSD01_blue_lg,Size,1514CSD01_blue_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1516CCT01_blue_sm,Size,1516CCT01_blue_sm,active,Maaji,7.70278E+12,SMALL,155000,COP Price
1516CCT01_blue_md,Size,1516CCT01_blue_md,active,Maaji,7.70278E+12,MEDIUM,155000,COP Price
1516CCT01_blue_lg,Size,1516CCT01_blue_lg,active,Maaji,7.70278E+12,LARGE,155000,COP Price
1518CSD01_orange_sm,Size,1518CSD01_orange_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1518CSD01_orange_md,Size,1518CSD01_orange_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1518CSD01_orange_lg,Size,1518CSD01_orange_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1519CCT01_orange_sm,Size,1519CCT01_orange_sm,active,Maaji,7.70278E+12,SMALL,155000,COP Price
1519CCT01_orange_md,Size,1519CCT01_orange_md,active,Maaji,7.70278E+12,MEDIUM,155000,COP Price
1519CCT01_orange_lg,Size,1519CCT01_orange_lg,active,Maaji,7.70278E+12,LARGE,155000,COP Price
1520SFH03_red_sm,Size,1520SFH03_red_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
1520SFH03_red_md,Size,1520SFH03_red_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
1520SFH03_red_lg,Size,1520SFH03_red_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
1520SFH03_red_xl,Size,1520SFH03_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
1932SFT04_black_sm,Size,1932SFT04_black_sm,active,Maaji,7.70278E+12,SMALL,115000,COP Price
