lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
1694KKC02_black,Colour,1694KKC02_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681855/Summer2018/1694KKC02_black_3.jpg,1694KKC02_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517681858/Summer2018/1694KKC02_black_4.jpg,1694KKC02_black_4,,,,,,,,,,,,,,black,1694KKC02_black_2k|1694KKC02_black_4k|1694KKC02_black_6k|1694KKC02_black_8k|1694KKC02_black_10k|1694KKC02_black_12k|1694KKC02_black_14k|1694KKC02_black_16k
3081KKB02_blue,Colour,3081KKB02_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681947/Summer2018/3081KKB02_blue_3.jpg,3081KKB02_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517681959/Summer2018/3081KKB02_blue_4.jpg,3081KKB02_blue_4,,,,,,,,,,,,,,blue,3081KKB02_blue_2k|3081KKB02_blue_4k|3081KKB02_blue_6k|3081KKB02_blue_8k|3081KKB02_blue_10k|3081KKB02_blue_12k|3081KKB02_blue_14k|3081KKB02_blue_16k
3053KKB02_blue,Colour,3053KKB02_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681902/Summer2018/3053KKB02_blue_3.jpg,3053KKB02_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517681922/Summer2018/3053KKB02_blue_4.jpg,3053KKB02_blue_4,,,,,,,,,,,,,,blue,3053KKB02_blue_2k|3053KKB02_blue_4k|3053KKB02_blue_6k|3053KKB02_blue_8k|3053KKB02_blue_10k|3053KKB02_blue_12k|3053KKB02_blue_14k|3053KKB02_blue_16k
3051KKB04_blue,Colour,3051KKB04_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681888/Summer2018/3051KKB04_blue_3.jpg,3051KKB04_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517681902/Summer2018/3051KKB04_blue_4.jpg,3051KKB04_blue_4,,,,,,,,,,,,,,blue,3051KKB04_blue_2k|3051KKB04_blue_4k|3051KKB04_blue_6k|3051KKB04_blue_8k|3051KKB04_blue_10k|3051KKB04_blue_12k|3051KKB04_blue_14k|3051KKB04_blue_16k
3084KKO02_blue,Colour,3084KKO02_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681979/Summer2018/3084KKO02_blue_3.jpg,3084KKO02_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517681966/Summer2018/3084KKO02_blue_4.jpg,3084KKO02_blue_4,,,,,,,,,,,,,,blue,3084KKO02_blue_2k|3084KKO02_blue_4k|3084KKO02_blue_6k|3084KKO02_blue_8k|3084KKO02_blue_10k|3084KKO02_blue_12k|3084KKO02_blue_14k|3084KKO02_blue_16k
3098KKR01_blue,Colour,3098KKR01_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517682080/Summer2018/3098KKR01_blue_3.jpg,3098KKR01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517682083/Summer2018/3098KKR01_bue_4.jpg,3098KKR01_blue_4,,,,,,,,,,,,,,blue,3098KKR01_blue_2k|3098KKR01_blue_4k|3098KKR01_blue_6k|3098KKR01_blue_8k|3098KKR01_blue_10k|3098KKR01_blue_12k|3098KKR01_blue_14k|3098KKR01_blue_16k
1690KKC02_blue,Colour,1690KKC02_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681873/Summer2018/1690KKC02_blue_3.jpg,1690KKC02_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517681866/Summer2018/1690KKC02_blue_4.jpg,1690KKC02_blue_4,,,,,,,,,,,,,,blue,1690KKC02_blue_2k|1690KKC02_blue_4k|1690KKC02_blue_6k|1690KKC02_blue_8k|1690KKC02_blue_10k|1690KKC02_blue_12k|1690KKC02_blue_14k|1690KKC02_blue_16k
1693KKC02_blue,Colour,1693KKC02_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681836/Summer2018/1693KKC02_blue_3.jpg,1693KKC02_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517681866/Summer2018/1693KKC02_blue_4.jpg,1693KKC02_blue_4,,,,,,,,,,,,,,blue,1693KKC02_blue_2k|1693KKC02_blue_4k|1693KKC02_blue_6k|1693KKC02_blue_8k|1693KKC02_blue_10k|1693KKC02_blue_12k|1693KKC02_blue_14k|1693KKC02_blue_16k
3100KKB01_orange,Colour,3100KKB01_orange,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681741/Summer2018/3100KKB01_orange_3.jpg,3100KKB01_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517681723/Summer2018/3100KKB01_orange_4.jpg,3100KKB01_orange_4,,,,,,,,,,,,,,orange,3100KKB01_orange_2k|3100KKB01_orange_4k|3100KKB01_orange_6k|3100KKB01_orange_8k|3100KKB01_orange_10k|3100KKB01_orange_12k|3100KKB01_orange_14k|3100KKB01_orange_16k
3066KKB03_orange,Colour,3066KKB03_orange,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681916/Summer2018/3066KKB03_orange_3.jpg,3066KKB03_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517681935/Summer2018/3066KKB03_orange_4.jpg,3066KKB03_orange_4,,,,,,,,,,,,,,orange,3066KKB03_orange_2k|3066KKB03_orange_4k|3066KKB03_orange_6k|3066KKB03_orange_8k|3066KKB03_orange_10k|3066KKB03_orange_12k|3066KKB03_orange_14k|3066KKB03_orange_16k
3101KKB02_orange,Colour,3101KKB02_orange,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681781/Summer2018/3101KKB02_orange_3.jpg,3101KKB02_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517681791/Summer2018/3101KKB02_orange_4.jpg,3101KKB02_orange_4,,,,,,,,,,,,,,orange,3101KKB02_orange_2k|3101KKB02_orange_4k|3101KKB02_orange_6k|3101KKB02_orange_8k|3101KKB02_orange_10k|3101KKB02_orange_12k|3101KKB02_orange_14k|3101KKB02_orange_16k
