lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
1038TSL02_green,Colour,1038TSL02_green,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525957312/Summer2018/1038TSL02_green_3.jpg,1038TSL_green_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525957315/Summer2018/1038TSL02_green_4.jpg,1038TSL02_green_4,,,,,,,,,,,,,,green,1038TSL02_green_sm|1038TSL02_green_md|1038TSL02_green_lg|1038TSL02_green_xl
1372CSH02_white,Colour,1372CSH02_white,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1524842146/Summer2018/1372CSH02_white_1.jpg,1372CSh02_white_1,yes,https://res.cloudinary.com/maaji/image/upload/v1524842149/Summer2018/1372CSH02_white_2.jpg,1372CSH02_white_2,,,,,,,,,,,,,,white,1372CSH02_white_sm|1372CSH02_white_md|1372CSH02_white_lg
1422CSD04_purple,Colour,1422CSD04_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525293620/Summer2018/1422CSD04_purple_3.jpg,1422CSD04_purple_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525293622/Summer2018/1422CSD04_purple_4.jpg,1422CSD04_purple_4,,,,,,,,,,,,,,purple,1422CSD04_purple_sm|1422CSD04_purple_md|1422CSD04_purple_lg
1438CSD05_red,Colour,1438CSD05_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525293815/Summer2018/1438CSD05_red_3.jpg,1438CSd05_red_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525293817/Summer2018/1438CSD05_red_4.jpg,1438CSD04_red_4,,,,,,,,,,,,,,red,1438CSD05_red_sm|1438CSD05_red_md|1438CSD05_red_lg
1442CSH05_purple,Colour,1442CSH05_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525294039/Summer2018/1442CSH05_purple_1.jpg,1442CSH05_purple_1,yes,https://res.cloudinary.com/maaji/image/upload/v1525294043/Summer2018/1442CSH05_purple_2.jpg,1442CSH05_purple_2,,,,,,,,,,,,,,purple,1442CSH05_purple_sm|1442CSH05_purple_md|1442CSH05_purple_lg
1442CSH06_blue,Colour,1442CSH06_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525294687/Summer2018/1442CSH06_blue_1.jpg,1442CSH06_blue_1,yes,https://res.cloudinary.com/maaji/image/upload/v1525294690/Summer2018/1442CSH06_blue_2.jpg,1442CSH06_blue_2,,,,,,,,,,,,,,blue,1442CSH06_blue_sm|1442CSH06_blue_md|1442CSH06_blue_lg
1446CKL01_blue,Colour,1446CKL01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525294890/Summer2018/1446CKL01_blue_1.jpg,1446CKL01_blue_1,yes,https://res.cloudinary.com/maaji/image/upload/v1525294894/Summer2018/1446CKL01_blue_2.jpg,1446CKL01_blue_2,,,,,,,,,,,,,,blue,1446CKL01_blue_sm|1446CKL01_blue_md|1446CKL01_blue_lg
1461CSD03_blue,Colour,1461CSD03_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525295066/Summer2018/1461CSD03_blue_3.jpg,1461CSD03_blue_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525295069/Summer2018/1461CSD03_blue_4.jpg,1461CSD03_blue_4,,,,,,,,,,,,,,blue,1461CSD03_blue_sm|1461CSD03_blue_md|1461CSD03_blue_lg
1461CSD04_purple,Colour,1461CSD04_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525295231/Summer2018/1461CSD04_purple_3.jpg,1461CSD04_purple_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525295233/Summer2018/1461CSD04_purple_4.jpg,1461CSD04_purple_4,,,,,,,,,,,,,,purple,1461CSD04_purple_sm|1461CSD04_purple_md|1461CSD04_purple_lg
1468CPA03_red,Colour,1468CPA03_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525295359/Summer2018/1468CPA03_red_1.jpg,1468CPA03_red_1,yes,https://res.cloudinary.com/maaji/image/upload/v1525295361/Summer2018/1468CPA03_red_2.jpg,1468CPA03_red_2,,,,,,,,,,,,,,red,1468CPA03_red_sm|1468CPA03_red_md|1468CPA03_red_lg
