lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
2186SSP01_orange_xl,CO,2186SSP01_orange_xl,9,in_stock,dynamic,9
2187SSF01_orange_sm,CO,2187SSF01_orange_sm,6,in_stock,dynamic,6
2187SSF01_orange_md,CO,2187SSF01_orange_md,4,in_stock,dynamic,4
2187SSF01_orange_lg,CO,2187SSF01_orange_lg,7,in_stock,dynamic,7
3008SCC02_brown_sm,CO,3008SCC02_brown_sm,11,in_stock,dynamic,11
3008SCC02_brown_md,CO,3008SCC02_brown_md,22,in_stock,dynamic,22
3008SCC02_brown_lg,CO,3008SCC02_brown_lg,3,in_stock,dynamic,3
3011SHN01_pink_sm,CO,3011SHN01_pink_sm,8,in_stock,dynamic,8
3011SHN01_pink_md,CO,3011SHN01_pink_md,12,in_stock,dynamic,12
3011SHN01_pink_lg,CO,3011SHN01_pink_lg,8,in_stock,dynamic,8
3011SHN01_pink_xl,CO,3011SHN01_pink_xl,5,in_stock,dynamic,5
3012SFH05_blue_sm,CO,3012SFH05_blue_sm,4,in_stock,dynamic,4
3012SFH05_blue_md,CO,3012SFH05_blue_md,23,in_stock,dynamic,23
3012SFH05_blue_lg,CO,3012SFH05_blue_lg,2,in_stock,dynamic,2
3012SFH05_blue_xl,CO,3012SFH05_blue_xl,5,in_stock,dynamic,5
3042SFH02_black_sm,CO,3042SFH02_black_sm,4,in_stock,dynamic,4
3042SFH02_black_md,CO,3042SFH02_black_md,7,in_stock,dynamic,7
3042SFH02_black_lg,CO,3042SFH02_black_lg,9,in_stock,dynamic,9
3042SFH02_black_xl,CO,3042SFH02_black_xl,15,in_stock,dynamic,15
3042SFH03_purple_sm,CO,3042SFH03_purple_sm,20,in_stock,dynamic,20
3042SFH03_purple_md,CO,3042SFH03_purple_md,10,in_stock,dynamic,10
3042SFH03_purple_lg,CO,3042SFH03_purple_lg,9,in_stock,dynamic,9
3042SFH03_purple_xl,CO,3042SFH03_purple_xl,6,in_stock,dynamic,6
3045SFT04_pink_sm,CO,3045SFT04_pink_sm,4,in_stock,dynamic,4
3045SFT04_pink_md,CO,3045SFT04_pink_md,7,in_stock,dynamic,7
3045SFT04_pink_lg,CO,3045SFT04_pink_lg,11,in_stock,dynamic,11
3045SFT04_pink_xl,CO,3045SFT04_pink_xl,22,in_stock,dynamic,22
3047SFH03_red_sm,CO,3047SFH03_red_sm,3,in_stock,dynamic,3
3047SFH03_red_md,CO,3047SFH03_red_md,8,in_stock,dynamic,8
3047SFH03_red_lg,CO,3047SFH03_red_lg,12,in_stock,dynamic,12
3047SFH03_red_xl,CO,3047SFH03_red_xl,8,in_stock,dynamic,8
3048SUN04_blue_sm,CO,3048SUN04_blue_sm,5,in_stock,dynamic,5
3048SUN04_blue_md,CO,3048SUN04_blue_md,4,in_stock,dynamic,4
3048SUN04_blue_lg,CO,3048SUN04_blue_lg,23,in_stock,dynamic,23
3048SUN04_blue_xl,CO,3048SUN04_blue_xl,2,in_stock,dynamic,2
3053SFA05_blue_sm,CO,3053SFA05_blue_sm,5,in_stock,dynamic,5
3053SFA05_blue_md,CO,3053SFA05_blue_md,4,in_stock,dynamic,4
3053SFA05_blue_lg,CO,3053SFA05_blue_lg,7,in_stock,dynamic,7
3053SFA05_blue_xl,CO,3053SFA05_blue_xl,9,in_stock,dynamic,9
3054SFA03_black_sm,CO,3054SFA03_black_sm,15,in_stock,dynamic,15
3054SFA03_black_md,CO,3054SFA03_black_md,20,in_stock,dynamic,20
3054SFA03_black_lg,CO,3054SFA03_black_lg,10,in_stock,dynamic,10
3054SFA03_black_xl,CO,3054SFA03_black_xl,9,in_stock,dynamic,9
3059SFT02_red_sm,CO,3059SFT02_red_sm,6,in_stock,dynamic,6
3059SFT02_red_md,CO,3059SFT02_red_md,4,in_stock,dynamic,4
3059SFT02_red_lg,CO,3059SFT02_red_lg,7,in_stock,dynamic,7
3059SFT02_red_xl,CO,3059SFT02_red_xl,11,in_stock,dynamic,11
3060SFA03_brown_sm,CO,3060SFA03_brown_sm,22,in_stock,dynamic,22
3060SFA03_brown_md,CO,3060SFA03_brown_md,3,in_stock,dynamic,3
3060SFA03_brown_lg,CO,3060SFA03_brown_lg,8,in_stock,dynamic,8
3060SFA03_brown_xl,CO,3060SFA03_brown_xl,12,in_stock,dynamic,12
3061SSP01_brown_sm,CO,3061SSP01_brown_sm,8,in_stock,dynamic,8
3061SSP01_brown_md,CO,3061SSP01_brown_md,5,in_stock,dynamic,5
3061SSP01_brown_lg,CO,3061SSP01_brown_lg,4,in_stock,dynamic,4
3061SSP01_brown_xl,CO,3061SSP01_brown_xl,23,in_stock,dynamic,23
3062SBA01_red_sm,CO,3062SBA01_red_sm,2,in_stock,dynamic,2
3062SBA01_red_md,CO,3062SBA01_red_md,5,in_stock,dynamic,5
3062SBA01_red_lg,CO,3062SBA01_red_lg,4,in_stock,dynamic,4
