lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
1507CKS01_green,Colour,1507CKS01_green,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1519239595/Summer2018/1507CKS01_green_1.jpg,1507CKS01_green_1,,https://res.cloudinary.com/maaji/image/upload/v1519239595/Summer2018/1507CKS01_green_2.jpg,1507CKS01_green_2,,,,,,,,,,,,,,verde,1507CKS01_green_sm|1507CKS01_green_md|1507CKS01_green_lg
1508CCT01_green,Colour,1508CCT01_green,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522514/Summer2018/1508CCT01_green_1.jpg,1508CCT01_green_1,yes,https://res.cloudinary.com/maaji/image/upload/v1517522513/Summer2018/1508CCT01_green_2.jpg,1508CCT01_green_2,,,,,,,,,,,,,,verde,1508CCT01_green_sm|1508CCT01_green_md|1508CCT01_green_lg
1509CKL01_white,Colour,1509CKL01_white,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1519240363/Summer2018/1509CKL01_white_1.jpg,1509CKL01_white_1,yes,https://res.cloudinary.com/maaji/image/upload/v1519240363/Summer2018/1509CKL01_white_2.jpg,1509CKL01_white_2,,https://res.cloudinary.com/maaji/image/upload/v1517522442/Summer2018/1509CKL01_white_3.jpg,1509CKL01_white_3,,https://res.cloudinary.com/maaji/image/upload/v1517522439/Summer2018/1509CKL01_white_4.jpg,1509CKL01_white_4,,https://res.cloudinary.com/maaji/image/upload/v1517522438/Summer2018/1509CKL01_white_7.jpg,1509CKL01_white_7,,https://res.cloudinary.com/maaji/image/upload/v1517522438/Summer2018/1509CKL01_white_8.jpg,1509CKL01_white_8,,blanco,1509CKL01_white_sm|1509CKL01_white_md|1509CKL01_white_lg
1511CRO01_blue,Colour,1511CRO01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517602380/Summer2018/1511CRO01_blue_3.jpg,1511CRO01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517602380/Summer2018/1511CRO01_blue_4.jpg,1511CRO01_blue_4,,,,,,,,,,,,,,azul,1511CRO01_blue_sm|1511CRO01_blue_md|1511CRO01_blue_lg
1513CLS01_blue,Colour,1513CLS01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517602909/Summer2018/1513CLS01_blue_3.jpg,1513CLS01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517602909/Summer2018/1513CLS01_blue_4.jpg,1513CLS01_blue_4,,,,,,,,,,,,,,azul,1513CLS01_blue_sm|1513CLS01_blue_md|1513CLS01_blue_lg
1514CSD01_blue,Colour,1514CSD01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517603166/Summer2018/1514CSD01_blue_3.jpg,1514CSD01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517603166/Summer2018/1514CSD01_blue_4.jpg,1514CSD01_blue_4,,,,,,,,,,,,,,azul,1514CSD01_blue_sm|1514CSD01_blue_md|1514CSD01_blue_lg
1516CCT01_blue,Colour,1516CCT01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1520884846/Summer2018/1516CCT01_blue_1.jpg,1516CCT01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1520884848/Summer2018/1516CCT01_blue_2.jpg,1516CCT01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1520884844/Summer2018/1516CCT01_blue_5.jpg,1516CCT01_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1520884844/Summer2018/1516CCT01_blue_6.jpg,1516CCT01_blue_6,,https://res.cloudinary.com/maaji/image/upload/v1520884845/Summer2018/1516CCT01_blue_7.jpg,1516CCT01_blue_7,,https://res.cloudinary.com/maaji/image/upload/v1520884844/Summer2018/1516CCT01_blue_8.jpg,1516CCT01_blue_8,,azul,1516CCT01_blue_sm|1516CCT01_blue_md|1516CCT01_blue_lg
1518CSD01_wine,Colour,1518CSD01_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522812/Summer2018/1518CSD01_wine_3.jpg,1518CSD01_wine_3,,https://res.cloudinary.com/maaji/image/upload/v1517522814/Summer2018/1518CSD01_wine_4.jpg,1518CSD01_wine_4,,,,,,,,,,,,,,vinotinto,1518CSD01_wine_sm|1518CSD01_wine_md|1518CSD01_wine_lg
1519CCT01_purple,Colour,1519CCT01_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522919/Summer2018/1519CCT01_purple_1.jpg,1519CCT01_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1517522919/Summer2018/1519CCT01_purple_2.jpg,1519CCT01_purple_2,,,,,,,,,,,,,,morado,1519CCT01_purple_sm|1519CCT01_purple_md|1519CCT01_purple_lg
2173SFA01_blue,Colour,2173SFA01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522525/Summer2018/2173SFA01_blue_1.jpg,2173SFA01_blue_1,yes,https://res.cloudinary.com/maaji/image/upload/v1517522527/Summer2018/2173SFA01_blue_2.jpg,2173SFA01_blue_2,,,,,,,,,,,,,,azul,2173SFA01_blue_sm|2173SFA01_blue_md|2173SFA01_blue_lg
