lv1_code,,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1471CSD02_white_lg,1471CSD02,Size,1471CSD02_white_lg,active,Maaji,LARGE,7702781027339,LARGE,180000,COP Price
1477CSD03_purple_sm,1477CSD03,Size,1477CSD03_purple_sm,active,Maaji,SMALL,7702781028114,SMALL,180000,COP Price
1477CSD03_purple_md,1477CSD03,Size,1477CSD03_purple_md,active,Maaji,MEDIUM,7702781028121,MEDIUM,180000,COP Price
1477CSD03_purple_lg,1477CSD03,Size,1477CSD03_purple_lg,active,Maaji,LARGE,7702781028138,LARGE,180000,COP Price
1502CSD01_red_sm,1502CSD01,Size,1502CSD01_red_sm,active,Maaji,SMALL,7702781037796,SMALL,180000,COP Price
1502CSD01_red_md,1502CSD01,Size,1502CSD01_red_md,active,Maaji,MEDIUM,7702781037802,MEDIUM,180000,COP Price
1502CSD01_red_lg,1502CSD01,Size,1502CSD01_red_lg,active,Maaji,LARGE,7702781037819,LARGE,180000,COP Price
1503CSD01_red_sm,1503CSD01,Size,1503CSD01_red_sm,active,Maaji,SMALL,7702781027162,SMALL,180000,COP Price
1503CSD01_red_md,1503CSD01,Size,1503CSD01_red_md,active,Maaji,MEDIUM,7702781027179,MEDIUM,180000,COP Price
1503CSD01_red_lg,1503CSD01,Size,1503CSD01_red_lg,active,Maaji,LARGE,7702781027186,LARGE,180000,COP Price
1504CLD01_red_sm,1504CLD01,Size,1504CLD01_red_sm,active,Maaji,SMALL,7702781027216,SMALL,220000,COP Price
1504CLD01_red_md,1504CLD01,Size,1504CLD01_red_md,active,Maaji,MEDIUM,7702781027223,MEDIUM,220000,COP Price
1504CLD01_red_lg,1504CLD01,Size,1504CLD01_red_lg,active,Maaji,LARGE,7702781027230,LARGE,220000,COP Price
1506CSD01_green_sm,1506CSD01,Size,1506CSD01_green_sm,active,Maaji,SMALL,7702781030551,SMALL,180000,COP Price
1506CSD01_green_md,1506CSD01,Size,1506CSD01_green_md,active,Maaji,MEDIUM,7702781030568,MEDIUM,180000,COP Price
1506CSD01_green_lg,1506CSD01,Size,1506CSD01_green_lg,active,Maaji,LARGE,7702781030575,LARGE,180000,COP Price
1507CKS01_green_sm,1507CKS01,Size,1507CKS01_green_sm,active,Maaji,SMALL,7702781030926,SMALL,130000,COP Price
1507CKS01_green_md,1507CKS01,Size,1507CKS01_green_md,active,Maaji,MEDIUM,7702781030933,MEDIUM,130000,COP Price
1507CKS01_green_lg,1507CKS01,Size,1507CKS01_green_lg,active,Maaji,LARGE,7702781030940,LARGE,130000,COP Price
1508CCT01_green_sm,1508CCT01,Size,1508CCT01_green_sm,active,Maaji,SMALL,7702781035440,SMALL,155000,COP Price
1508CCT01_green_md,1508CCT01,Size,1508CCT01_green_md,active,Maaji,MEDIUM,7702781035457,MEDIUM,155000,COP Price
1508CCT01_green_lg,1508CCT01,Size,1508CCT01_green_lg,active,Maaji,LARGE,7702781035464,LARGE,155000,COP Price
1509CKL01_white_sm,1509CKL01,Size,1509CKL01_white_sm,active,Maaji,SMALL,7702781033217,SMALL,180000,COP Price
1509CKL01_white_md,1509CKL01,Size,1509CKL01_white_md,active,Maaji,MEDIUM,7702781033224,MEDIUM,180000,COP Price
1509CKL01_white_lg,1509CKL01,Size,1509CKL01_white_lg,active,Maaji,LARGE,7702781033231,LARGE,180000,COP Price
1511CRO01_blue_sm,1511CRO01,Size,1511CRO01_blue_sm,active,Maaji,SMALL,7702781028169,SMALL,160000,COP Price
1511CRO01_blue_md,1511CRO01,Size,1511CRO01_blue_md,active,Maaji,MEDIUM,7702781028176,MEDIUM,160000,COP Price
1511CRO01_blue_lg,1511CRO01,Size,1511CRO01_blue_lg,active,Maaji,LARGE,7702781028183,LARGE,160000,COP Price
1513CLS01_blue_sm,1513CLS01,Size,1513CLS01_blue_sm,active,Maaji,SMALL,7702781032081,SMALL,170000,COP Price
1513CLS01_blue_md,1513CLS01,Size,1513CLS01_blue_md,active,Maaji,MEDIUM,7702781032098,MEDIUM,170000,COP Price
1513CLS01_blue_lg,1513CLS01,Size,1513CLS01_blue_lg,active,Maaji,LARGE,7702781032104,LARGE,170000,COP Price
1514CSD01_blue_sm,1514CSD01,Size,1514CSD01_blue_sm,active,Maaji,SMALL,7702781032661,SMALL,180000,COP Price
1514CSD01_blue_md,1514CSD01,Size,1514CSD01_blue_md,active,Maaji,MEDIUM,7702781032678,MEDIUM,180000,COP Price
1514CSD01_blue_lg,1514CSD01,Size,1514CSD01_blue_lg,active,Maaji,LARGE,7702781032685,LARGE,180000,COP Price
1516CCT01_blue_sm,1516CCT01,Size,1516CCT01_blue_sm,active,Maaji,SMALL,7702781032517,SMALL,155000,COP Price
1516CCT01_blue_md,1516CCT01,Size,1516CCT01_blue_md,active,Maaji,MEDIUM,7702781032524,MEDIUM,155000,COP Price
1516CCT01_blue_lg,1516CCT01,Size,1516CCT01_blue_lg,active,Maaji,LARGE,7702781032531,LARGE,155000,COP Price
1518CSD01_wine_sm,1518CSD01,Size,1518CSD01_wine_sm,active,Maaji,SMALL,7702781032289,SMALL,180000,COP Price
1518CSD01_wine_md,1518CSD01,Size,1518CSD01_wine_md,active,Maaji,MEDIUM,7702781032296,MEDIUM,180000,COP Price
1518CSD01_wine_lg,1518CSD01,Size,1518CSD01_wine_lg,active,Maaji,LARGE,7702781032302,LARGE,180000,COP Price
1519CCT01_purple_sm,1519CCT01,Size,1519CCT01_purple_sm,active,Maaji,SMALL,7702781033163,SMALL,155000,COP Price
1519CCT01_purple_md,1519CCT01,Size,1519CCT01_purple_md,active,Maaji,MEDIUM,7702781033170,MEDIUM,155000,COP Price
1519CCT01_purple_lg,1519CCT01,Size,1519CCT01_purple_lg,active,Maaji,LARGE,7702781033187,LARGE,155000,COP Price
2173SFA01_blue_sm,2173SFA01,Size,2173SFA01_blue_sm,active,Maaji,SMALL,7702781037444,SMALL,135000,COP Price
2173SFA01_blue_md,2173SFA01,Size,2173SFA01_blue_md,active,Maaji,MEDIUM,7702781037451,MEDIUM,135000,COP Price
2173SFA01_blue_lg,2173SFA01,Size,2173SFA01_blue_lg,active,Maaji,LARGE,7702781037468,LARGE,135000,COP Price
2174SLT01_blue_sm,2174SLT01,Size,2174SLT01_blue_sm,active,Maaji,SMALL,7702781038922,SMALL,125000,COP Price
2174SLT01_blue_md,2174SLT01,Size,2174SLT01_blue_md,active,Maaji,MEDIUM,7702781038939,MEDIUM,125000,COP Price
2174SLT01_blue_lg,2174SLT01,Size,2174SLT01_blue_lg,active,Maaji,LARGE,7702781038946,LARGE,125000,COP Price
2174SLT01_blue_xl,2174SLT01,Size,2174SLT01_blue_xl,active,Maaji,EXTRA LARGE,7702781038953,EXTRA LARGE,125000,COP Price
2175SFA01_white_sm,2175SFA01,Size,2175SFA01_white_sm,active,Maaji,SMALL,7702781036393,SMALL,135000,COP Price
2175SFA01_white_md,2175SFA01,Size,2175SFA01_white_md,active,Maaji,MEDIUM,7702781036409,MEDIUM,135000,COP Price
2175SFA01_white_lg,2175SFA01,Size,2175SFA01_white_lg,active,Maaji,LARGE,7702781036416,LARGE,135000,COP Price
2175SFA01_white_xl,2175SFA01,Size,2175SFA01_white_xl,active,Maaji,EXTRA LARGE,7702781036423,EXTRA LARGE,135000,COP Price
2176SRA01_black_sm,2176SRA01,Size,2176SRA01_black_sm,active,Maaji,SMALL,7702781035341,SMALL,180000,COP Price
2176SRA01_black_md,2176SRA01,Size,2176SRA01_black_md,active,Maaji,MEDIUM,7702781035358,MEDIUM,180000,COP Price
2176SRA01_black_lg,2176SRA01,Size,2176SRA01_black_lg,active,Maaji,LARGE,7702781035365,LARGE,180000,COP Price
2176SRA01_black_xl,2176SRA01,Size,2176SRA01_black_xl,active,Maaji,EXTRA LARGE,7702781035372,EXTRA LARGE,180000,COP Price
2177SFA01_blue_sm,2177SFA01,Size,2177SFA01_blue_sm,active,Maaji,SMALL,7702781037345,SMALL,135000,COP Price
2177SFA01_blue_md,2177SFA01,Size,2177SFA01_blue_md,active,Maaji,MEDIUM,7702781037352,MEDIUM,135000,COP Price
2177SFA01_blue_lg,2177SFA01,Size,2177SFA01_blue_lg,active,Maaji,LARGE,7702781037369,LARGE,135000,COP Price
2177SFA01_blue_xl,2177SFA01,Size,2177SFA01_blue_xl,active,Maaji,EXTRA LARGE,7702781037376,EXTRA LARGE,135000,COP Price
2178SUN01_blue_sm,2178SUN01,Size,2178SUN01_blue_sm,active,Maaji,SMALL,7702781040727,SMALL,100000,COP Price
2178SUN01_blue_md,2178SUN01,Size,2178SUN01_blue_md,active,Maaji,MEDIUM,7702781040734,MEDIUM,100000,COP Price
2178SUN01_blue_lg,2178SUN01,Size,2178SUN01_blue_lg,active,Maaji,LARGE,7702781040741,LARGE,100000,COP Price
2178SUN01_blue_xl,2178SUN01,Size,2178SUN01_blue_xl,active,Maaji,EXTRA LARGE,7702781040758,EXTRA LARGE,100000,COP Price
2179SSE01_blue_sm,2179SSE01,Size,2179SSE01_blue_sm,active,Maaji,SMALL,7702781037598,SMALL,115000,COP Price
2179SSE01_blue_md,2179SSE01,Size,2179SSE01_blue_md,active,Maaji,MEDIUM,7702781037604,MEDIUM,115000,COP Price
2179SSE01_blue_lg,2179SSE01,Size,2179SSE01_blue_lg,active,Maaji,LARGE,7702781037611,LARGE,115000,COP Price
2179SSE01_blue_xl,2179SSE01,Size,2179SSE01_blue_xl,active,Maaji,EXTRA LARGE,7702781037628,EXTRA LARGE,115000,COP Price
