lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3007SDC04_red_lg,Size,3007SDC04_red_lg,active,Maaji,LARGE,7702781020002,LARGE,95000,COP Price
2062SBC03_blue_sm,Size,2062SBC03_blue_sm,active,Maaji,SMALL,7702781020484,SMALL,100000,COP Price
2062SBC03_blue_md,Size,2062SBC03_blue_md,active,Maaji,MEDIUM,7702781020491,MEDIUM,100000,COP Price
2062SBC03_blue_lg,Size,2062SBC03_blue_lg,active,Maaji,LARGE,7702781020507,LARGE,100000,COP Price
2062SCC03_blue_sm,Size,2062SCC03_blue_sm,active,Maaji,SMALL,7702781002459,SMALL,100000,COP Price
2062SCC03_blue_md,Size,2062SCC03_blue_md,active,Maaji,MEDIUM,7702781002466,MEDIUM,100000,COP Price
2062SCC03_blue_lg,Size,2062SCC03_blue_lg,active,Maaji,LARGE,7702781002473,LARGE,100000,COP Price
2041SAC01_wine_sm,Size,2041SAC01_wine_sm,active,Maaji,SMALL,7702781020637,SMALL,100000,COP Price
2041SAC01_wine_md,Size,2041SAC01_wine_md,active,Maaji,MEDIUM,7702781020644,MEDIUM,100000,COP Price
2041SAC01_wine_lg,Size,2041SAC01_wine_lg,active,Maaji,LARGE,7702781020651,LARGE,100000,COP Price
2041SBC01_wine_sm,Size,2041SBC01_wine_sm,active,Maaji,SMALL,7702781001957,SMALL,100000,COP Price
2041SBC01_wine_md,Size,2041SBC01_wine_md,active,Maaji,MEDIUM,7702781001964,MEDIUM,100000,COP Price
2041SBC01_wine_lg,Size,2041SBC01_wine_lg,active,Maaji,LARGE,7702781001971,LARGE,100000,COP Price
3007SBC05_blue_sm,Size,3007SBC05_blue_sm,active,Maaji,SMALL,7702781020880,SMALL,95000,COP Price
3007SBC05_blue_md,Size,3007SBC05_blue_md,active,Maaji,MEDIUM,7702781020897,MEDIUM,95000,COP Price
3007SBC05_blue_lg,Size,3007SBC05_blue_lg,active,Maaji,LARGE,7702781020903,LARGE,95000,COP Price
3007SCC05_blue_sm,Size,3007SCC05_blue_sm,active,Maaji,SMALL,7702781004040,SMALL,95000,COP Price
3007SCC05_blue_md,Size,3007SCC05_blue_md,active,Maaji,MEDIUM,7702781004057,MEDIUM,95000,COP Price
3007SCC05_blue_lg,Size,3007SCC05_blue_lg,active,Maaji,LARGE,7702781004064,LARGE,95000,COP Price
2119SOH01_purple_sm,Size,2119SOH01_purple_sm,active,Maaji,SMALL,7702781021580,SMALL,252000,COP Price
2119SOH01_purple_md,Size,2119SOH01_purple_md,active,Maaji,MEDIUM,7702781021597,MEDIUM,252000,COP Price
2119SOH01_purple_lg,Size,2119SOH01_purple_lg,active,Maaji,LARGE,7702781021603,LARGE,252000,COP Price
2119SOR01_purple_sm,Size,2119SOR01_purple_sm,active,Maaji,SMALL,7702781017019,SMALL,252000,COP Price
2119SOR01_purple_md,Size,2119SOR01_purple_md,active,Maaji,MEDIUM,7702781017026,MEDIUM,252000,COP Price
2119SOR01_purple_lg,Size,2119SOR01_purple_lg,active,Maaji,LARGE,7702781017033,LARGE,252000,COP Price
3050SOH01_blue_sm,Size,3050SOH01_blue_sm,active,Maaji,SMALL,7702781021733,SMALL,252000,COP Price
3050SOH01_blue_md,Size,3050SOH01_blue_md,active,Maaji,MEDIUM,7702781021740,MEDIUM,252000,COP Price
3050SOH01_blue_lg,Size,3050SOH01_blue_lg,active,Maaji,LARGE,7702781021757,LARGE,252000,COP Price
3050SOR01_blue_sm,Size,3050SOR01_blue_sm,active,Maaji,SMALL,7702781016760,SMALL,252000,COP Price
3050SOR01_blue_md,Size,3050SOR01_blue_md,active,Maaji,MEDIUM,7702781016777,MEDIUM,252000,COP Price
3050SOR01_blue_lg,Size,3050SOR01_blue_lg,active,Maaji,LARGE,7702781016784,LARGE,252000,COP Price
2130SCC01_blue_sm,Size,2130SCC01_blue_sm,active,Maaji,SMALL,7702781026479,SMALL,105000,COP Price
2130SCC01_blue_md,Size,2130SCC01_blue_md,active,Maaji,MEDIUM,7702781026486,MEDIUM,105000,COP Price
2130SCC01_blue_lg,Size,2130SCC01_blue_lg,active,Maaji,LARGE,7702781026493,LARGE,105000,COP Price
,,,,,,,,,
