lv1_code,product_class_name,name,status,brand,attribute.saya_cut.single_option,image.1.url,image.1.description,image.1.is_primary,variation_children_code
3013SCC04,Cut,3013SCC04,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3013SCC04_orange
3007SAC20,Cut,3007SAC20,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC20_purple
3007SBC20,Cut,3007SBC20,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC20_purple
3007SCC20,Cut,3007SCC20,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC20_purple
3007SDC20,Cut,3007SDC20,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC20_purple
3039SBC06,Cut,3039SBC06,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3039SBC06_purple
3039SCC06,Cut,3039SCC06,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3039SCC06_purple
3039SDC06,Cut,3039SDC06,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3039SDC06_purple
2182SOR01,Cut,2182SOR01,active,Maaji,SOR,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2182SOR01_orange
2182SOH01,Cut,2182SOH01,active,Maaji,SOH,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2182SOH01_orange
2110SBC03,Cut,2110SBC03,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2110SB03_orange
2110SDC03,Cut,2110SDC03,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,2110SDC03_orange
2023SBC01,Cut,2023SBC01,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2023SBC01_orange
2023SCC01,Cut,2023SCC01,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2023SCC01_orange
2188SBC01,Cut,2188SBC01,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2188SBC01_orange
2188SCC01,Cut,2188SCC01,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2188SCC01_orange
2185SOB01,Cut,2185SOB01,active,Maaji,SOB,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2185SOB01_orange
2185SOC01,Cut,2185SOC01,active,Maaji,SOC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2185SOC01_orange
1932SAC02,Cut,1932SAC02,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,1932SAC02_orange
1932SBC02,Cut,1932SBC02,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,1932SBC02_orange
2062SBC12,Cut,2062SBC12,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2062SBC12_orange
2062SCC12,Cut,2062SCC12,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2062SCC12_orange
2168SBC02,Cut,2168SBC02,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2168SBC02_orange
2168SDC02,Cut,2168SDC02,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,2168SDC02_orange
