lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
2061SBC05_blue,Colour,2061SBC05_blue,active,Maaji,1,1,azul,2061SBC05_blue_sm|2061SBC05_blue_md|2061SBC05_blue_lg
2061SDC05_blue,Colour,2061SDC05_blue,active,Maaji,1,1,azul,2061SDC05_blue_sm|2061SDC05_blue_md|2061SDC05_blue_lg
2061SBC04_blue,Colour,2061SBC04_blue,active,Maaji,1,1,azul,2061SBC04_blue_sm|2061SBC04_blue_md|2061SBC04_blue_lg
2061SCC04_blue,Colour,2061SCC04_blue,active,Maaji,1,1,azul,2061SCC04_blue_sm|2061SCC04_blue_md|2061SCC04_blue_lg
2119SOR02_blue,Colour,2119SOR02_blue,active,Maaji,1,1,azul,2119SOR02_blue_sm|2119SOR02_blue_md|2119SOR02_blue_lg
2119SOH02_blue,Colour,2119SOH02_blue,active,Maaji,1,1,azul,2119SOH02_blue_sm|2119SOH02_blue_md|2119SOH02_blue_lg
2062SBC11_blue,Colour,2062SBC11_blue,active,Maaji,1,1,azul,2062SBC11_blue_sm|2062SBC11_blue_md|2062SBC11_blue_lg
2062SCC11_blue,Colour,2062SCC11_blue,active,Maaji,1,1,azul,2062SCC11_blue_sm|2062SCC11_blue_md|2062SCC11_blue_lg
2041SBC08_blue,Colour,2041SBC08_blue,active,Maaji,1,1,azul,2041SBC08_blue_sm|2041SBC08_blue_md|2041SBC08_blue_lg
2041SCC08_blue,Colour,2041SCC08_blue,active,Maaji,1,1,azul,2041SCC08_blue_sm|2041SCC08_blue_md|2041SCC08_blue_lg
3007SAC19_orange,Colour,3007SAC19_orange,active,Maaji,1,1,anaranjado,3007SAC19_orange_sm|3007SAC19_orange_md|3007SAC19_orange_lg
3007SBC19_orange,Colour,3007SBC19_orange,active,Maaji,1,1,anaranjado,3007SBC19_orange_sm|3007SBC19_orange_md|3007SBC19_orange_lg
3007SCC19_orange,Colour,3007SCC19_orange,active,Maaji,1,1,anaranjado,3007SCC19_orange_sm|3007SCC19_orange_md|3007SCC19_orange_lg
3007SDC19_orange,Colour,3007SDC19_orange,active,Maaji,1,1,anaranjado,3007SDC19_orange_sm|3007SDC19_orange_md|3007SDC19_orange_lg
3013SBC04_orange,Colour,3013SBC04_orange,active,Maaji,1,1,anaranjado,3013SBC04_orange_sm|3013SBC04_orange_md|3013SBC04_orange_lg
3013SCC04_orange,Colour,3013SCC04_orange,active,Maaji,1,1,anaranjado,3013SCC04_orange_sm|3013SCC04_orange_md|3013SCC04_orange_lg
3007SAC20_purple,Colour,3007SAC20_purple,active,Maaji,1,1,morado,3007SAC20_purple_sm|3007SAC20_purple_md|3007SAC20_purple_lg
3007SBC20_purple,Colour,3007SBC20_purple,active,Maaji,1,1,morado,3007SBC20_purple_sm|3007SBC20_purple_md|3007SBC20_purple_lg
3007SCC20_purple,Colour,3007SCC20_purple,active,Maaji,1,1,morado,3007SCC20_purple_sm|3007SCC20_purple_md|3007SCC20_purple_lg
3007SDC20_purple,Colour,3007SDC20_purple,active,Maaji,1,1,morado,3007SDC20_purple_sm|3007SDC20_purple_md|3007SDC20_purple_lg
3039SBC06_purple,Colour,3039SBC06_purple,active,Maaji,1,1,morado,3039SBC06_purple_sm|3039SBC06_purple_md|3039SBC06_purple_lg
3039SCC06_purple,Colour,3039SCC06_purple,active,Maaji,1,1,morado,3039SCC06_purple_sm|3039SCC06_purple_md|3039SCC06_purple_lg
3039SDC06_purple,Colour,3039SDC06_purple,active,Maaji,1,1,morado,3039SDC06_purple_sm|3039SDC06_purple_md|3039SDC06_purple_lg
2182SOR01_orange,Colour,2182SOR01_orange,active,Maaji,1,1,anaranjado,2182SOR01_orange_sm|2182SOR01_orange_md|2182SOR01_orange_lg
2182SOH01_orange,Colour,2182SOH01_orange,active,Maaji,1,1,anaranjado,2182SOH01_orange_sm|2182SOH01_orange_md|2182SOH01_orange_lg
2110SB03_orange,Colour,2110SB03_orange,active,Maaji,1,1,anaranjado,2110SBC03_orange_sm|2110SBC03_orange_md|2110SBC03_orange_lg
2110SDC03_orange,Colour,2110SDC03_orange,active,Maaji,1,1,anaranjado,2110SDC03_orange_sm|2110SDC03_orange_md|2110SDC03_orange_lg
2023SBC01_orange,Colour,2023SBC01_orange,active,Maaji,1,1,anaranjado,2023SBC01_orange_sm|2023SBC01_orange_md|2023SBC01_orange_lg
2023SCC01_orange,Colour,2023SCC01_orange,active,Maaji,1,1,anaranjado,2023SCC01_orange_sm|2023SCC01_orange_md|2023SCC01_orange_lg
2188SBC01_orange,Colour,2188SBC01_orange,active,Maaji,1,1,anaranjado,2188SBC01_orange_sm|2188SBC01_orange_md|2188SBC01_orange_lg
2188SCC01_orange,Colour,2188SCC01_orange,active,Maaji,1,1,anaranjado,2188SCC01_orange_sm|2188SCC01_orange_md|2188SCC01_orange_lg
2185SOB01_orange,Colour,2185SOB01_orange,active,Maaji,1,1,anaranjado,2185SOB01_orange_sm|2185SOB01_orange_md|2185SOB01_orange_lg
2185SOC01_orange,Colour,2185SOC01_orange,active,Maaji,1,1,anaranjado,2185SOC01_orange_sm|2185SOC01_orange_md|2185SOC01_orange_lg
1932SAC02_orange,Colour,1932SAC02_orange,active,Maaji,1,1,anaranjado,1932SAC02_orange_sm|1932SAC02_orange_md|1932SAC02_orange_lg
1932SBC02_orange,Colour,1932SBC02_orange,active,Maaji,1,1,anaranjado,1932SBC02_orange_sm|1932SBC02_orange_md|1932SBC02_orange_lg
2062SBC12_orange,Colour,2062SBC12_orange,active,Maaji,1,1,anaranjado,2062SBC12_orange_sm|2062SBC12_orange_md|2062SBC12_orange_lg
2062SCC12_orange,Colour,2062SCC12_orange,active,Maaji,1,1,anaranjado,2062SCC12_orange_sm|2062SCC12_orange_md|2062SCC12_orange_lg
2168SBC02_orange,Colour,2168SBC02_orange,active,Maaji,1,1,anaranjado,2168SBC02_orange_sm|2168SBC02_orange_md|2168SBC02_orange_lg
2168SDC02_orange,Colour,2168SDC02_orange,active,Maaji,1,1,anaranjado,2168SDC02_orange_sm|2168SDC02_orange_md|2168SDC02_orange_lg
3008SCC02_brown,Colour,3008SCC02_brown,active,Maaji,1,1,cafe,3008SCC02_brown_sm|3008SCC02_brown_md|3008SCC02_brown_lg
2187SSF01_orange,Colour,2187SSF01_orange,active,Maaji,1,1,anaranjado,2187SSF01_orange_sm|2187SSF01_orange_md|2187SSF01_orange_lg
