lv1_code,product_class_name,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list
2113sft01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1528395190/Spring2018/2113SFT01_purple_1.jpg,2113SFT01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528395191/Spring2018/2113SFT01_purple_2.jpg,2113SFT01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
3045sft01_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528407314/Spring2018/3045SFT01_wine_1.jpg,3045SFT01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528407314/Spring2018/3045SFT01_wine_2.jpg,3045SFT01_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528407315/Spring2018/3045SFT01_wine_5.jpg,3045SFT01_wine_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528407317/Spring2018/3045SFT01_wine_6.jpg,3045SFT01_wine_6,no,hi-res,,,,,,,,,,,,,,,,
2112sfa01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1528394494/Spring2018/2112SFA01_wine_1.jpg,2112SFA01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528394495/Spring2018/2112SFA01_wine_2.jpg,2112SFA01_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528394496/Spring2018/2112SFA01_wine_7.jpg,2112SFA01_wine_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528394497/Spring2018/2112SFA01_wine_8.jpg,2112SFA01_wine_8,no,hi-res,,,,,,,,,,,,,,,,
2115sse01_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528396615/Spring2018/2115SSE01_wine_1.jpg,2115SSE01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528396616/Spring2018/2115SSE01_wine_2.jpg,2115SSE01_wine_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
3047sfh01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1528408485/Spring2018/3047SFH01_red_1.jpg,3047SFH01_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408486/Spring2018/3047SFH01_red_2.jpg,3047SFH01_red_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408487/Spring2018/3047SFH01_red_5.jpg,3047SFH01_red_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408488/Spring2018/3047SFH01_red_6.jpg,3047SFH01_red_6,no,hi-res,,,,,,,,,,,,,,,,
2117ssp01_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528397690/Spring2018/2117SSP01_wine_1.jpg,2117SSP01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528397691/Spring2018/2117SSP01_wine_2.jpg,2117SSP01_wine_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
3049sfa01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1528416245/Spring2018/3049SFA01_red_1.jpg,3049SFA01_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528416246/Spring2018/3049SFA01_red_2.jpg,3049SFA01_red_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528416246/Spring2018/3049SFA01_red_3.jpg,3049SFA01_red_3,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528416247/Spring2018/3049SFA01_red_4.jpg,3049SFA01_red_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528416248/Spring2018/3049SFA01_red_5.jpg,3049SFA01_red_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528416249/Spring2018/3049SFA01_red_6.jpg,3049SFA01_red_6,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528416250/Spring2018/3049SFA01_red_7.jpg,3049SFA01_red_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528416250/Spring2018/3049SFA01_red_8.jpg,3049SFA01_red_8,no,hi-res
3054sfa01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528420163/Spring2018/3054SFA01_blue_1.jpg,3054SFA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528420164/Spring2018/3054SFA01_blue_2.jpg,3054SFA01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528420165/Spring2018/3054SFA01_blue_3.jpg,3054SFA01_blue_3,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528420166/Spring2018/3054SFA01_blue_4.jpg,3054SFA01_blue_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528420167/Spring2018/3054SFA01_blue_5.jpg,3054SFA01_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528420168/Spring2018/3054SFA01_blue_6.jpg,3054SFA01_blue_6,noo,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528420169/Spring2018/3054SFA01_blue_7.jpg,3054SFA01_blue_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528420169/Spring2018/3054SFA01_blue_8.jpg,3054SFA01_blue_8,no,hi-res
1520sfh01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528334995/Spring2018/1520SFH01_blue_1.jpg,1520SFH01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528334996/Spring2018/1520SFH01_blue_2.jpg,1520SFH01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528334998/Spring2018/1520SFH01_blue_5.jpg,1520SFH01_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528334999/Spring2018/1520SFH01_blue_6.jpg,1520SFH01_blue_6,no,hi-res,,,,,,,,,,,,,,,,
3053sfa01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528419528/Spring2018/3053SFA01_blue_1.jpg,3053SFA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528419529/Spring2018/3053SFA01_blue_2.jpg,30553SFA01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528419530/Spring2018/3053SFA01_blue_5.jpg,3053SFA01_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528419530/Spring2018/3053SFA01_blue_6.jpg,3053SFA01_blue_6,no,hi-res,,,,,,,,,,,,,,,,
