lv1_code,product_class_name,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list
3054sfa03_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1527887059/Summer2018/3054SFA03_black_1.jpg,3054SFA03_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527887060/Summer2018/3054SFA03_black_2.jpg,3054SFA03_black_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527887062/Summer2018/3054SFA03_black_5.jpg,3054SFA03_black_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527887063/Summer2018/3054SFA03_black_6.jpg,3054SFA03_black_6,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527887064/Summer2018/3054SFA03_black_7.jpg,3054SFA03_black_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527887065/Summer2018/3054SFA03_black_8.jpg,3054SFA03_black_8,no,hi-res,,,,,,,,
3063sbr01_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1527100924/Summer2018/3063SBR01_black_1.jpg,3063SBR01_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528038612/Summer2018/3063SBR01_black_2.jpg,3063SBR01_black_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528038619/Summer2018/3063SBR01_black_5.jpg,3063SBR01_black_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528038625/Summer2018/3063SBR01_black_6.jpg,3063SBR01_black_6,no,hi-res,,,,,,,,,,,,,,,,
3063sbr02_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527270886/Summer2018/3063SBR02_orange_1.jpg,3063SBR02_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527270888/Summer2018/3063SBR02_orange_2.jpg,3063SBR02_orange_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527270891/Summer2018/3063SBR02_orange_5.jpg,3063SBR02_orange_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527270893/Summer2018/3063SBR02_orange_6.jpg,3063SBR02_orange_6,no,hi-res,,,,,,,,,,,,,,,,
3066sun01_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1528039730/Summer2018/3066SUN01_black_1.jpg,3066SUN01_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528039735/Summer2018/3066SUN01_black_2.jpg,3066SUN01_black_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528039742/Summer2018/3066SUN01_black_5.jpg,3066SUN01_black_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528039748/Summer2018/3066SUN01_black_6.jpg,3066SUN01_black_6,no,hi-res,,,,,,,,,,,,,,,,
3068ssp01_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1528040773/Summer2018/3068SSP01_black_1.jpg,3068SSP01_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528040779/Summer2018/3068SSP01_black_2.jpg,3068SSP01_black_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528040786/Summer2018/3068SSP01_black_5.jpg,3068SSP01_black_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528040793/Summer2018/3068SSP01_black_6.jpg,3068SSP01_black_6,no,hi-res,,,,,,,,,,,,,,,,
3068ssp02_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528042868/Summer2018/3068SSP02_orange_1.jpg,3068SSP02_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528042873/Summer2018/3068SSP02_orange_2.jpg,3068SSP02_orange_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528042880/Summer2018/3068SSP02_orange_5.jpg,3068SSP02_orange_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528042887/Summer2018/3068SSP02_orange_6.jpg,3068SSP02_orange_6,no,hi-res,,,,,,,,,,,,,,,,
3069sse01_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1526044046/Summer2018/3069SSE01_orange_1.jpg,3069SSE01_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1526044047/Summer2018/3069SSE01_orange_2.jpg,3069SSE01_orange_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528043691/Summer2018/3069SSE01_orange_5.jpg,3069SSE01_orange_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528043697/Summer2018/3069SSE01_orange_6.jpg,3069SSE01_orange_6,no,hi-res,,,,,,,,,,,,,,,,
3070sbr01_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528044196/Summer2018/3070SBR01_purple_1.jpg,3070SBR01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528044202/Summer2018/3070SBR01_purple_2.jpg,3070SBR01_purple_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528044209/Summer2018/3070SBR01_purple_5.jpg,3070SBR01_purple_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528044215/Summer2018/3070SBR01_purple_6.jpg,3070SBR01_purple_6,no,hi-res,,,,,,,,,,,,,,,,
1520sfh03_cafe,Colour,https://res.cloudinary.com/maaji/image/upload/v1525313418/Summer2018/1520SFH03_brown_1.jpg,1520SFH03_brown_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525313425/Summer2018/1520SFH03_brown_2.jpg,1520SFH03_brown_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525313432/Summer2018/1520SFH03_brown_5.jpg,1520SFH03_brown_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525313439/Summer2018/1520SFH03_brown_6.jpg,1520SFH03_brown_6,no,hi-res,,,,,,,,,,,,,,,,
1932sft04_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1525793698/Summer2018/1932SFT04_black_1.jpg,1932SFT04_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525793701/Summer2018/1932SFT04_black_2.jpg,1932SFT04_black_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1932sft05_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527173981/Summer2018/1932SFT05_orange_1.jpg,1932SFT05_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527173985/Summer2018/1932SFT05_orange_2.jpg,1932SFT05_orange_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2021sfa04_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527175849/Summer2018/2021SFA04_orange_1.jpg,2021SFA04_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527175853/Summer2018/2021SFA04_orange_2.jpg,2021SFA04_orange_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527175858/Summer2018/2021SFA04_orange_5.jpg,2021SFA04_orange_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527175862/Summer2018/2021SFA04_orange_6.jpg,2021SFA04_orange_6,no,hi-res,,,,,,,,,,,,,,,,
2033sun04_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1527178511/Summer2018/2033SUN04_black_1.jpg,2033SUN04_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527178515/Summer2018/2033SUN04_black_2.jpg,2033SUN04_black_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2047shn03_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1527188713/Summer2018/2047SHN03_red_1.jpg,2047SHN03_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527188718/Summer2018/2047SHN03_red_2.jpg,2047SHN03_red_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2050sse01_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1527190123/Summer2018/2050SSE01_black_1.jpg,2050SSE01_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527190128/Summer2018/2050SSE01_black_2.jpg,2050SSE01_black_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2112sfa02_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527194164/Summer2018/2112SFA02_blue_1.jpg,2112SFA02_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527194169/Summer2018/2112SFA02_blue_2.jpg,2112SFA02_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527194174/Summer2018/2112SFA02_blue_5.jpg,2112SFA02_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527194179/Summer2018/2112SFA02_blue_6.jpg,2112SFA02_blue_6,no,hi-res,,,,,,,,,,,,,,,,
2131sun02_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1527196494/Summer2018/2131SUN02_red_1.jpg,2131SUN02_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527196500/Summer2018/2131SUN02_red_2.jpg,2131SUN02_red_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2131sun03_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527197629/Summer2018/2131SUN03_orange_1.jpg,2131SUN03_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527197633/Summer2018/2131SUN03_orange_2.jpg,2131SUN03_orange_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2153sun02_rosado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527256875/Summer2018/2153SUN02_pink_1.jpg,2153SUN02_pink_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527256878/Summer2018/2153SUN02_pink_2.jpg,2153SUN02_pink_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2161sfa02_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527257234/Summer2018/2161SFA02_blue_1.jpg,2161SFA02_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527257237/Summer2018/2161SFA02_blue_2.jpg,2161SFA02_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
