lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.description.html,attribute.saya_collection.single_option,attribute.saya_country.string,attribute.saya_fabric_content.single_option,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_occasion.multi_option,attribute.saya_product_department.string,attribute.saya_product_line.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1211XWK02,Style,1211XWK02,active,Maaji,GYM / TRAVEL,default,Colombia,,SUMMER,Colombia,DUFFLE 49% NYLON 47% POLYESTER 4% SPANDEX WOVEN,ACCESSORIES,ACCESSORIES,GRAY DUFFLE BAG,,WOMEN,ACCESSORIES,active,2018,4202220000,1211XWK02-red
1214XCP06,Style,1214XCP06,active,Maaji,RUNNING ACCESSORIES,default,Colombia,,SUMMER,Colombia,WOMENS VISOR 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,FLORANOVA VISOR,,WOMEN,ACCESSORIES,active,2018,6507000000,1214XCP06-red
1219XPK03,Style,1219XPK03,active,Maaji,ACCESORIES BEACH,default,Colombia,,SUMMER,Colombia,WOMENS POCKET 67% NYLON 25% POLYESTER 8% SPANDEX WOVEN,ACCESSORIES,ACCESSORIES,FLORANOVA DOPP KIT,,WOMEN,ACCESSORIES,active,2018,4202320000,1219XPK03-red
1233XTW02,Style,1233XTW02,active,Maaji,TRAVEL ACCESSORIES,default,Colombia,,SUMMER,Colombia,BEACH TOWEL 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,SANDWAVES BEACH TOWEL,,WOMEN,ACCESSORIES,active,2018,6307909000,1233XTW02-orange
1238XCP05,Style,1238XCP05,active,Maaji,ACCESORIES BEACH,default,Colombia,,SUMMER,Colombia,WOMENS VISOR 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,OASIS KNOT VISOR,,WOMEN,ACCESSORIES,active,2018,6507000000,1238XCP05-red
1238XCP06,Style,1238XCP06,active,Maaji,ACCESORIES BEACH,default,Colombia,,SUMMER,Colombia,WOMENS VISOR 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,WINE KNOT VISOR,,WOMEN,ACCESSORIES,active,2018,6507000000,1238XCP06-blue
1244XPK02,Style,1244XPK02,active,Maaji,TRAVEL ACCESSORIES,default,Colombia,,SUMMER,Colombia,WOMENS ORGANIZER 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,ASSORTED FESTIVAL BIKINI BAG,,WOMEN,ACCESSORIES,active,2018,4202320000,1244XPK02-black
1245XVR02,Style,1245XVR02,active,Maaji,TRAVEL ACCESSORIES,default,Colombia,,SUMMER,Colombia,WOMENS TOTE 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,ASSORTED ROLL ME UP,,WOMEN,ACCESSORIES,active,2018,4202220000,1245XVR02-red
1259XBP02,Style,1259XBP02,active,Maaji,GYM / TRAVEL,default,Colombia,,SUMMER,Colombia,SPORTS BAG 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,LEAVES SPORT BAG,,WOMEN,ACCESSORIES,active,2018,4202920000,1259XBP02-green
1260XVR02,Style,1260XVR02,active,Maaji,GYM ACCESORIES,default,Colombia,,SUMMER,Colombia,SPORTS BAG 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,MAAJICAL SPORT BAG,,WOMEN,ACCESSORIES,active,2018,4202920000,1260XVR02-red
