lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
1050tss01_amarillo_lg,Size,1050TSS01 AMARILLO LG,active,Maaji,,7702781016883,
1050tss01_amarillo_xl,Size,1050TSS01 AMARILLO XL,active,Maaji,,7702781016890,
1040tbs01_azul_sm,Size,1040TBS01 AZUL SM,active,Maaji,,7702781016913,
1040tbs01_azul_md,Size,1040TBS01 AZUL MD,active,Maaji,,7702781016920,
1040tbs01_azul_lg,Size,1040TBS01 AZUL LG,active,Maaji,,7702781016937,
1040tbs01_azul_xl,Size,1040TBS01 AZUL XL,active,Maaji,,7702781016944,
1041tbs01_azul_sm,Size,1041TBS01 AZUL SM,active,Maaji,,7702781016517,
1041tbs01_azul_md,Size,1041TBS01 AZUL MD,active,Maaji,,7702781016524,
1041tbs01_azul_lg,Size,1041TBS01 AZUL LG,active,Maaji,,7702781016531,
1041tbs01_azul_xl,Size,1041TBS01 AZUL XL,active,Maaji,,7702781016548,
1046tsf01_azul_sm,Size,1046TSF01 AZUL SM,active,Maaji,,7702781016319,
1046tsf01_azul_md,Size,1046TSF01 AZUL MD,active,Maaji,,7702781016326,
1046tsf01_azul_lg,Size,1046TSF01 AZUL LG,active,Maaji,,7702781016333,
1046tsf01_azul_xl,Size,1046TSF01 AZUL XL,active,Maaji,,7702781016340,
1047tsf01_rojo_sm,Size,1047TSF01 ROJO SM,active,Maaji,,7702781016463,
1047tsf01_rojo_md,Size,1047TSF01 ROJO MD,active,Maaji,,7702781016470,
1047tsf01_rojo_lg,Size,1047TSF01 ROJO LG,active,Maaji,,7702781016487,
1047tsf01_rojo_xl,Size,1047TSF01 ROJO XL,active,Maaji,,7702781016494,
1038tsl01_azul_sm,Size,1038TSL01 AZUL SM,active,Maaji,,7702781015565,
1038tsl01_azul_md,Size,1038TSL01 AZUL MD,active,Maaji,,7702781015572,
1038tsl01_azul_lg,Size,1038TSL01 AZUL LG,active,Maaji,,7702781015589,
1038tsl01_azul_xl,Size,1038TSL01 AZUL XL,active,Maaji,,7702781015596,
1039tsl01_azul_sm,Size,1039TSL01 AZUL SM,active,Maaji,,7702781015718,
1039tsl01_azul_md,Size,1039TSL01 AZUL MD,active,Maaji,,7702781015725,
1039tsl01_azul_lg,Size,1039TSL01 AZUL LG,active,Maaji,,7702781015732,
1039tsl01_azul_xl,Size,1039TSL01 AZUL XL,active,Maaji,,7702781015749,
