lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
3048SUN04,3 Level Product Style,3048SUN04,active,Maaji,SWIMWEAR > WOMENS UNDERWIRE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,MEDITERRANEAN BLUE LOVELY,WOMEN,active,2018,6112410000,3048SUN04_blue
3053SFA05,3 Level Product Style,3053SFA05,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 81% NYLON 19% SPANDEX KNIT,SUMMER,SWIMWEAR,MEDITERRANEAN BLUE DECK,WOMEN,active,2018,6112410000,3053SFA05_blue
3054SFA03,3 Level Product Style,3054SFA03,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOPSWIMWEAR ONE PIECE 90%NYLON 7%SPANDEX 1%POLYESTER 1%PET 1%ACRYLIC KNIT,SUMMER,SWIMWEAR,METEORITE DAZZLING,WOMEN,active,2018,6112410000,3054SFA03_black
3063SBR01,3 Level Product Style,3063SBR01,active,Maaji,SWIMWEAR > WOMENS BRALETTE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 90% NYLON 10% SPANDEX KNIT,SUMMER,SWIMWEAR,METEORITE DUNES,WOMEN,active,2018,6112410000,3063SBR01_black
3063SBR02,3 Level Product Style,3063SBR02,active,Maaji,SWIMWEAR > WOMENS BRALETTE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,SUMMER,SWIMWEAR,SAND STONE DUNES,WOMEN,active,2018,6112410000,3063SBR02_orange
3066SUN01,3 Level Product Style,3066SUN01,active,Maaji,SWIMWEAR > WOMENS UNDERWIRE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 84% NYLON 16% SPANDEX KNIT,SUMMER,SWIMWEAR,METEORITE SWELL,WOMEN,active,2018,6112410000,3066SUN01_black
3068SSP01,3 Level Product Style,3068SSP01,active,Maaji,SWIMWEAR > WOMENS SPORTY TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,METEORITE COCKTAIL,WOMEN,active,2018,6112410000,3068SSP01_black
3068SSP02,3 Level Product Style,3068SSP02,active,Maaji,SWIMWEAR > WOMENS SPORTY TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,SUMMER,SWIMWEAR,SAND STONE COCKTAIL,WOMEN,active,2018,6112410000,3068SSP02_orange
3069SSE01,3 Level Product Style,3069SSE01,active,Maaji,SWIMWEAR > WOMENS SLIDING TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,SUMMER,SWIMWEAR,SAND STONE LEGEND,WOMEN,active,2018,6112410000,3069SSE01_orange
3070SBR01,3 Level Product Style,3070SBR01,active,Maaji,SWIMWEAR > WOMENS BRALETTE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 84% NYLON 16% SPANDEX KNIT,SUMMER,SWIMWEAR,MAUVE AFTERLIGHT,WOMEN,active,2018,6112410000,3070SBR01_orange
1520SFH03,3 Level Product Style,1520SFH03,active,Maaji,SWIMWEAR > WOMENS FIXED HALTER,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,SUMMER,SWIMWEAR,SHIMMERING COGNAC SWIRL,WOMEN,active,2018,6112410000,1520SFH03_red
1932SFT04,3 Level Product Style,1932SFT04,active,Maaji,SWIMWEAR > WOMENS FIXED TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,SUMMER,SWIMWEAR,GULF OF PARIA,WOMEN,active,2018,6112410000,1932SFT04_black
1932SFT05,3 Level Product Style,1932SFT05,active,Maaji,SWIMWEAR > WOMENS FIXED TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 68% NYLON 23% POLYESTER 9% SPANDEX KNIT,SUMMER,SWIMWEAR,DOLCE VELOCE,WOMEN,active,2018,6112410000,1932SFT05_orange
2021SFA04,3 Level Product Style,2021SFA04,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 56% NYLON 34% POLYESTER 10% SPANDEX KNIT,SUMMER,SWIMWEAR,SUNDOWN SOCIETY,WOMEN,active,2018,6112410000,2021SFA04_orange
2033SUN04,3 Level Product Style,2033SUN04,active,Maaji,SWIMWEAR > WOMENS UNDERWIRE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 91% NYLON 9% SPANDEX KNIT,SUMMER,SWIMWEAR,NIGHLTY OASIS,WOMEN,active,2018,6112410000,2033SUN04_black
2047SHN03,3 Level Product Style,2047SHN03,active,Maaji,SWIMWEAR > WOMENS HIGH NECK,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,CORAL REEF TOUCAN,WOMEN,active,2018,6112410000,2047SHN03_red
2050SSE01,3 Level Product Style,2050SSE01,active,Maaji,SWIMWEAR > WOMENS SLIDING TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,SUMMER,SWIMWEAR,BUMPY ROADS,WOMEN,active,2018,6112410000,2050SSE01_black
2112SFA02,3 Level Product Style,2112SFA02,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOPSWIMWEAR ONEPIECE 50%NYLON 39%POLYESTER 9%SPANDEX 1%PET 1%ACRYLIC KNIT,SUMMER,SWIMWEAR,BLUE CACIQUE,WOMEN,active,2018,6112410000,2112SFA02_blue
2131SUN02,3 Level Product Style,2131SUN02,active,Maaji,SWIMWEAR > WOMENS UNDERWIRE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,SUMMER,SWIMWEAR,CURUBA TROPICA,WOMEN,active,2018,6112410000,2131SUN02_red
