lv1_code,product_class_name,name,status,brand,co_online,country_of_origin,description,fabric_care,online_description,online_name,page_description,page_keywords,page_url,short_description,size_fit,tax_class,us_online,category.1.path,category.1.category_set,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1505CPR01,Single Level Product Style,1505CPR01,active,Maaji,,Colombia,,,,,,,,,,,,COVER UPS > WOMENS PAREO,default,SUMMER 2018,COLOMBIA,BEACH TIE ON 100% COTTON WOVEN,SUMMER,COVER UPS,HUNTING SUCCULENTS,WOMEN,active,2018,62.17.10.00.00,https://res.cloudinary.com/maaji/image/upload/v1517598972/Summer2018/1505CPR01_red_3.jpg,1505CPR01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517598971/Summer2018/1505CPR01_red_5.jpg,1505CPR01_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517598974/Summer2018/1505CPR01_red_7.jpg,1505CPR01_red_7,,,,,,,,red,7702781030261,ONE SIZE,150000,COP Price
1510CPR01,Single Level Product Style,1510CPR01,active,Maaji,,Colombia,,,,,,,,,,,,COVER UPS > WOMENS PAREO,default,SUMMER 2018,COLOMBIA,BEACH TIE ON 100% COTTON WOVEN,SUMMER,COVER UPS,SUCCULENT LANDSCAPE,WOMEN,active,2018,62.17.10.00.00,https://res.cloudinary.com/maaji/image/upload/v1517522435/Summer2018/1510CPR01_black_3.jpg,1510CPR01_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517522447/Summer2018/1510CPR01_black_5.jpg,1510CPR01_black_5,,https://res.cloudinary.com/maaji/image/upload/v1517522442/Summer2018/1510CPR01_black_7.jpg,1510CPR01_black_7,,,,,,,,black,7702781027384,ONE SIZE,150000,COP Price
1515CPR01,Single Level Product Style,1515CPR01,active,Maaji,,Colombia,,,,,,,,,,,,COVER UPS > WOMENS PAREO,default,SUMMER 2018,COLOMBIA,BEACH TIE ON 100% COTTON WOVEN,SUMMER,COVER UPS,FEARLESSLY AUTHENTIC,WOMEN,active,2018,62.17.10.00.00,https://res.cloudinary.com/maaji/image/upload/v1517603401/Summer2018/1515CPR01_blue_3.jpg,1515CPR01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517603401/Summer2018/1515CPR01_blue_5.jpg,1515CPR01_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1517603402/Summer2018/1515CPR01_blue_7.jpg,1515CPR01_blue_7,,,,,,,,blue,7702781027353,ONE SIZE,150000,COP Price
1520CPR01,Single Level Product Style,1520CPR01,active,Maaji,,Colombia,,,,,,,,,,,,COVER UPS > WOMENS PAREO,default,SUMMER 2018,COLOMBIA,BEACH TIE ON 100% COTTON WOVEN,SUMMER,COVER UPS,GOOD TIMES,WOMEN,active,2018,62.17.10.00.00,https://res.cloudinary.com/maaji/image/upload/v1517522817/Summer2018/1520CPR01_orange_3.jpg,1520CPR01_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522816/Summer2018/1520CPR01_orange_5.jpg,1520CPR01_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522817/Summer2018/1520CPR01_orange_7.jpg,1520CPR01_orange_7,,,,,,,,orange,7702781027360,ONE SIZE,150000,COP Price
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250XTR01,Single Level Product Style,1250XTR01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS PASSPORT KEEPER 100% POLYESTER WOVEN,SPRING ,ACCESORIES,PASSPORT KEEPER,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518550592/Spring2018/1250XTR01_assorted_9.jpg,1250XTR01_assorted_9,,,,,,,,,,,,,,blue,7702781027377,ONE SIZE,54000,COP Price
1254XPK01,Single Level Product Style,1254XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS POCKET 54% NYLON 41% POLYESTER 5% SPANDEX WOVEN,SPRING,ACCESORIES,HEADPHONES KEEPER,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518558451/Spring2018/1254XPK01_assorted_9.jpg,1254XPK01_assorted_9,,,,,,,,,,,,,,black,7702781007553,ONE SIZE,19000,COP Price
1231XCP01,Single Level Product Style,1231XCP01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS CAP 100% POLYESTER WOVEN,SPRING,ACCESORIES,HERITAGE LOVELY CAP,WOMEN,active,2018,65.06.99.00.00,https://res.cloudinary.com/maaji/image/upload/v1518554776/Spring2018/1231XCP01_1231XCP02_1231XCP03_assorted_9.jpg,1231XCP01_assorted_9,,,,,,,,,,,,,,blue,7702781007577,ONE SIZE,63000,COP Price
1246XPK01,Single Level Product Style,1246XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS POCKET 75% NYLON 18% POLYESTER 7% SPANDEX WOVEN,SPRING,ACCESORIES,DOUBLE MAAJICAL POCKET,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518556610/Spring2018/1246XPK01_assorted_9.jpg,1246XPK01_assorted_9,,,,,,,,,,,,,,assorted,7702781007355,ONE SIZE,63000,COP Price
1230XTE01,Single Level Product Style,1230XTE01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS TOTE 57% POLYESTER 33% COTTON 5% LINEN 5% ACRYLIC WOVEN,SPRING,ACCESORIES,COCONUT BAGGY TOTE,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1518543907/Spring2018/1230XTE01_white_9.jpg,1230XTE01_white_9,,,,,,,,,,,,,,white,7702781012687,ONE SIZE,138000,COP Price
